,1,2,3,4,5,6,7
49,2020-7-25 1,9,16,16,2,22,0.4
50,2020-7-25 2,9,11,11,2,25,0.4
51,2020-7-25 3,8,7,9,1,28,0.4
52,2020-7-25 4,10,12,10,2,22,0.5
53,2020-7-25 5,9,13,8,2,20,0.4
54,2020-7-25 6,10,13,10,8,19,0.5
55,2020-7-25 7,11,12,11,7,21,0.5
56,2020-7-25 8,16,12,17,5,26,0.5
57,2020-7-25 9,15,14,18,7,40,0.5
58,2020-7-25 10,15,14,24,5,73,0.5
59,2020-7-25 11,15,13,30,13,120,0.5
60,2020-7-25 12,12,9,37,11,133,0.5
61,2020-7-25 13,12,8,36,16,137,0.5
62,2020-7-25 14,10,9,38,15,137,0.5
63,2020-7-25 15,9,10,40,14,136,0.5
64,2020-7-25 16,9,11,35,14,145,0.5
65,2020-7-25 17,10,13,37,20,140,0.5
66,2020-7-25 18,11,16,38,15,121,0.5
67,2020-7-25 19,13,19,43,11,66,0.6
68,2020-7-25 20,15,18,33,15,42,0.5
69,2020-7-25 21,16,22,27,2,27,0.5
70,2020-7-25 22,15,25,27,5,20,0.6
71,2020-7-25 23,12,22,26,5,20,0.5
72,2020-7-26 0,10,18,21,6,23,0.5
73,2020-7-26 1,9,15,25,6,28,0.5
74,2020-7-26 2,9,5,16,4,39,0.4
75,2020-7-26 3,8,5,13,2,37,0.4
76,2020-7-26 4,8,4,10,4,37,0.5
77,2020-7-26 5,8,7,18,8,33,0.4
78,2020-7-26 6,9,11,12,6,27,0.5
79,2020-7-26 7,10,10,14,7,28,0.5
80,2020-7-26 8,10,7,18,4,37,0.5
81,2020-7-26 9,10,7,19,6,54,0.5
82,2020-7-26 10,9,9,19,7,74,0.5
83,2020-7-26 11,8,5,26,10,85,0.5
84,2020-7-26 12,8,4,30,10,96,0.5
85,2020-7-26 13,8,4,28,9,99,0.5
86,2020-7-26 14,8,6,33,8,110,0.5
87,2020-7-26 15,9,8,30,11,117,0.5
88,2020-7-26 16,9,10,28,11,98,0.5
89,2020-7-26 17,9,9,33,7,76,0.5
90,2020-7-26 18,11,16,22,7,58,0.5
91,2020-7-26 19,8,15,40,7,46,0.5
92,2020-7-26 20,9,10,33,8,39,0.5
93,2020-7-26 21,8,9,19,9,32,0.5
94,2020-7-26 22,10,19,13,5,19,0.5
95,2020-7-26 23,9,17,23,4,18,0.5
96,2020-7-27 0,14,21,21,5,14,0.5
97,2020-7-27 1,9,15,21,4,18,0.5
98,2020-7-27 2,9,15,20,2,18,0.5
99,2020-7-27 3,8,17,19,2,17,0.5
100,2020-7-27 4,8,15,15,1,17,0.5
101,2020-7-27 5,8,16,20,4,17,0.5
102,2020-7-27 6,9,16,14,6,17,0.5
103,2020-7-27 7,11,14,17,4,22,0.5
104,2020-7-27 8,10,10,20,3,31,0.5
105,2020-7-27 9,9,9,21,2,40,0.4
106,2020-7-27 10,9,6,17,5,50,0.4
107,2020-7-27 11,8,6,13,5,64,0.4
108,2020-7-27 12,8,5,24,4,67,0.4
109,2020-7-27 13,8,4,27,4,61,0.4
110,2020-7-27 14,8,6,16,2,64,0.4
111,2020-7-27 15,8,9,14,3,73,0.4
112,2020-7-27 16,11,24,18,1,97,0.5
113,2020-7-27 17,10,12,35,4,76,0.4
114,2020-7-27 18,9,13,31,8,51,0.5
115,2020-7-27 19,10,15,29,6,35,0.5
116,2020-7-27 20,11,14,26,5,28,0.4
117,2020-7-27 21,8,11,22,4,28,0.4
118,2020-7-27 22,9,14,16,2,21,0.4
119,2020-7-27 23,9,12,20,6,23,0.4
120,2020-7-28 0,10,14,17,5,22,0.4
121,2020-7-28 1,10,10,20,4,25,0.4
122,2020-7-28 2,11,12,12,4,23,0.4
123,2020-7-28 3,11,14,13,2,20,0.4
124,2020-7-28 4,9,11,17,2,22,0.4
125,2020-7-28 5,8,11,13,9,21,0.4
126,2020-7-28 6,9,15,16,5,17,0.5
127,2020-7-28 7,10,16,17,3,19,0.5
128,2020-7-28 8,9,7,22,6,30,0.4
129,2020-7-28 9,9,8,18,5,39,0.5
130,2020-7-28 10,8,8,14,5,57,0.4
131,2020-7-28 11,9,7,20,5,77,0.4
132,2020-7-28 12,8,6,24,9,84,0.4
133,2020-7-28 13,8,5,24,6,85,0.4
134,2020-7-28 14,8,5,15,3,79,0.4
135,2020-7-28 15,10,21,13,5,71,0.4
136,2020-7-28 16,10,18,24,5,131,0.5
137,2020-7-28 17,10,16,34,8,109,0.5
138,2020-7-28 18,9,23,33,8,63,0.6
139,2020-7-28 19,9,17,33,9,43,0.5
140,2020-7-28 20,11,21,25,6,21,0.5
141,2020-7-28 21,10,13,20,13,24,0.5
142,2020-7-28 22,9,12,15,7,24,0.5
143,2020-7-28 23,9,14,9,2,19,0.5
144,2020-7-29 0,10,15,18,1,18,0.4
145,2020-7-29 1,9,12,13,2,20,0.4
146,2020-7-29 2,9,13,17,1,18,0.4
147,2020-7-29 3,9,24,14,4,8,0.5
148,2020-7-29 4,9,16,19,2,15,0.4
149,2020-7-29 5,9,14,18,2,17,0.4
150,2020-7-29 6,10,16,17,4,16,0.5
151,2020-7-29 7,13,12,15,5,21,0.5
152,2020-7-29 8,13,10,17,3,27,0.4
153,2020-7-29 9,15,11,22,3,34,0.4
154,2020-7-29 10,12,9,24,2,61,0.4
155,2020-7-29 11,11,7,19,0,86,0.4
156,2020-7-29 12,9,4,25,0,84,0.4
157,2020-7-29 13,9,3,12,1,79,0.3
158,2020-7-29 14,9,3,9,2,85,0.3
159,2020-7-29 15,8,5,8,2,100,0.3
160,2020-7-29 16,10,17,16,2,126,0.5
161,2020-7-29 17,9,16,38,10,102,0.5
162,2020-7-29 18,10,21,37,10,100,0.6
163,2020-7-29 19,9,22,49,20,87,0.6
164,2020-7-29 20,9,28,38,16,66,0.6
165,2020-7-29 21,10,26,32,10,56,0.5
166,2020-7-29 22,11,47,21,7,30,0.5
167,2020-7-29 23,11,43,35,11,22,0.5
168,2020-7-30 0,11,45,16,8,12,0.5
169,2020-7-30 1,11,57,17,5,10,0.6
170,2020-7-30 2,9,34,42,13,26,0.5
171,2020-7-30 3,9,27,20,10,22,0.5
172,2020-7-30 4,10,41,19,9,9,0.6
173,2020-7-30 5,9,38,23,14,8,0.6
174,2020-7-30 6,9,33,35,10,10,0.6
175,2020-7-30 7,10,24,27,6,21,0.5
176,2020-7-30 8,11,21,33,13,39,0.5
177,2020-7-30 9,11,18,28,10,52,0.5
178,2020-7-30 10,10,18,23,6,70,0.5
179,2020-7-30 11,10,16,29,5,104,0.5
180,2020-7-30 12,9,13,26,11,137,0.5
181,2020-7-30 13,9,15,30,10,168,0.5
182,2020-7-30 14,9,18,40,10,198,0.5
183,2020-7-30 15,9,22,38,17,180,0.5
184,2020-7-30 16,9,23,53,15,87,0.5
185,2020-7-30 17,24,36,25,8,85,0.5
186,2020-7-30 18,10,35,30,5,78,0.7
187,2020-7-30 19,13,40,43,15,50,0.6
188,2020-7-30 20,11,31,39,10,36,0.5
189,2020-7-30 21,10,34,23,7,37,0.5
190,2020-7-30 22,11,39,27,11,32,0.5
191,2020-7-30 23,11,42,34,16,24,0.6
192,2020-7-31 0,10,23,40,14,47,0.5
193,2020-7-31 1,10,21,27,12,42,0.5
194,2020-7-31 2,11,29,32,10,28,0.6
195,2020-7-31 3,10,24,35,13,32,0.5
196,2020-7-31 4,12,27,29,10,29,0.6
197,2020-7-31 5,11,30,31,11,26,0.5
198,2020-7-31 6,9,34,32,8,22,0.5
199,2020-7-31 7,11,21,32,5,36,0.5
200,2020-7-31 8,12,18,32,6,43,0.5
201,2020-7-31 9,11,20,31,5,44,0.5
202,2020-7-31 10,11,26,42,7,40,0.6
203,2020-7-31 11,10,16,34,15,53,0.5
204,2020-7-31 12,9,13,30,7,72,0.5
205,2020-7-31 13,9,11,30,0,70,0.4
206,2020-7-31 14,9,10,10,1,51,0.4
207,2020-7-31 15,9,15,15,2,57,0.5
208,2020-7-31 16,8,19,17,1,47,0.5
209,2020-7-31 17,9,19,13,3,49,0.5
210,2020-7-31 18,8,14,23,4,32,0.5
211,2020-7-31 19,8,16,13,3,24,0.5
212,2020-7-31 20,8,22,10,7,15,0.5
213,2020-7-31 21,8,21,11,9,13,0.5
214,2020-7-31 22,9,19,8,7,16,0.5
215,2020-7-31 23,10,16,8,5,18,0.5
216,2020-8-1 0,9,17,13,2,16,0.5
217,2020-8-1 1,8,15,14,3,16,0.5
218,2020-8-1 2,8,16,11,4,15,0.5
219,2020-8-1 3,8,17,13,4,13,0.5
220,2020-8-1 4,9,14,10,3,17,0.5
221,2020-8-1 5,9,13,13,4,18,0.5
222,2020-8-1 6,9,14,9,4,17,0.5
223,2020-8-1 7,9,15,10,3,19,0.5
224,2020-8-1 8,9,16,9,3,20,0.5
225,2020-8-1 9,9,18,9,2,25,0.5
226,2020-8-1 10,11,21,14,10,30,0.5
227,2020-8-1 11,11,22,19,8,32,0.5
228,2020-8-1 12,9,18,15,7,59,0.5
229,2020-8-1 13,10,19,13,9,56,0.5
230,2020-8-1 14,8,15,10,7,44,0.5
231,2020-8-1 15,10,22,13,6,34,0.5
232,2020-8-1 16,8,20,13,9,33,0.5
233,2020-8-1 17,9,23,13,6,34,0.5
234,2020-8-1 18,9,30,26,0,25,0.6
235,2020-8-1 19,9,38,15,0,16,0.7
236,2020-8-1 20,10,37,16,6,13,0.7
237,2020-8-1 21,8,27,16,6,19,0.6
238,2020-8-1 22,9,24,20,8,22,0.5
239,2020-8-1 23,8,23,21,9,22,0.5
240,2020-8-2 0,8,22,16,5,19,0.5
241,2020-8-2 1,8,19,10,4,20,0.5
242,2020-8-2 2,8,16,14,4,20,0.5
243,2020-8-2 3,8,13,12,4,22,0.5
244,2020-8-2 4,8,11,9,3,23,0.5
245,2020-8-2 5,8,16,9,3,22,0.5
246,2020-8-2 6,8,20,8,3,20,0.5
247,2020-8-2 7,8,22,6,3,21,0.6
248,2020-8-2 8,8,22,4,5,28,0.6
249,2020-8-2 9,8,23,9,3,32,0.6
250,2020-8-2 10,9,23,14,0,44,0.6
251,2020-8-2 11,9,24,14,1,49,0.6
252,2020-8-2 12,9,15,17,5,43,0.5
253,2020-8-2 13,8,12,6,4,46,0.5
254,2020-8-2 14,9,14,3,14,47,0.6
255,2020-8-2 15,12,19,8,7,51,0.6
256,2020-8-2 16,20,49,19,5,26,0.6
257,2020-8-2 17,13,33,35,12,40,0.6
258,2020-8-2 18,10,23,25,10,50,0.6
259,2020-8-2 19,8,22,20,6,43,0.6
260,2020-8-2 20,8,31,17,6,24,0.7
261,2020-8-2 21,8,27,13,7,23,0.6
262,2020-8-2 22,8,29,17,6,18,0.6
263,2020-8-2 23,14,27,25,3,23,0.6
264,2020-8-3 0,11,23,23,3,21,0.6
265,2020-8-3 1,8,19,23,4,24,0.5
266,2020-8-3 2,8,17,14,6,24,0.5
267,2020-8-3 3,8,19,12,5,19,0.6
268,2020-8-3 4,8,18,12,5,21,0.6
269,2020-8-3 5,8,12,10,6,36,0.5
270,2020-8-3 6,9,15,6,5,34,0.5
271,2020-8-3 7,12,20,3,3,29,0.6
272,2020-8-3 8,10,21,14,5,32,0.7
273,2020-8-3 9,16,22,21,6,34,0.6
274,2020-8-3 10,10,17,9,5,45,0.6
275,2020-8-3 11,8,24,20,3,44,0.6
276,2020-8-3 12,8,20,13,10,69,0.6
277,2020-8-3 13,8,16,16,8,79,0.6
278,2020-8-3 14,10,18,12,5,69,0.6
279,2020-8-3 15,8,20,9,22,56,0.6
280,2020-8-3 16,9,30,9,13,53,0.6
281,2020-8-3 17,22,38,22,10,43,0.7
282,2020-8-3 18,18,41,17,12,33,0.7
283,2020-8-3 19,13,37,21,11,27,0.7
284,2020-8-3 20,15,40,24,15,19,0.7
285,2020-8-3 21,23,45,21,8,14,0.6
286,2020-8-3 22,12,31,26,5,22,0.6
287,2020-8-3 23,12,30,23,6,22,0.6
288,2020-8-4 0,9,21,18,5,28,0.6
289,2020-8-4 1,9,20,15,5,28,0.5
290,2020-8-4 2,8,17,16,2,32,0.6
291,2020-8-4 3,8,15,12,8,35,0.6
292,2020-8-4 4,9,20,12,6,30,0.6
293,2020-8-4 5,9,26,19,2,21,0.6
294,2020-8-4 6,8,28,11,6,19,0.7
295,2020-8-4 7,10,22,15,13,27,0.7
296,2020-8-4 8,27,23,21,12,35,0.7
297,2020-8-4 9,28,21,30,11,47,0.6
298,2020-8-4 10,11,18,20,8,84,0.7
299,2020-8-4 11,9,15,22,7,121,0.7
300,2020-8-4 12,11,13,23,10,147,0.6
301,2020-8-4 13,14,13,25,10,161,0.6
302,2020-8-4 14,13,21,34,17,149,0.6
303,2020-8-4 15,12,20,31,14,106,0.6
304,2020-8-4 16,9,15,24,8,84,0.6
305,2020-8-4 17,9,15,23,8,62,0.6
306,2020-8-4 18,8,18,13,6,60,0.6
307,2020-8-4 19,8,18,23,10,41,0.6
308,2020-8-4 20,11,20,18,6,28,0.6
309,2020-8-4 21,12,20,18,2,24,0.5
310,2020-8-4 22,13,16,14,3,26,0.6
311,2020-8-4 23,9,12,9,1,29,0.5
312,2020-8-5 0,10,15,6,1,24,0.6
313,2020-8-5 1,10,13,20,6,25,0.6
314,2020-8-5 2,8,9,19,5,29,0.5
315,2020-8-5 3,11,18,3,1,18,0.5
316,2020-8-5 4,9,12,9,3,23,0.5
317,2020-8-5 5,8,12,8,6,22,0.5
318,2020-8-5 6,8,15,9,7,19,0.5
319,2020-8-5 7,10,21,10,6,16,0.6
320,2020-8-5 8,9,17,11,4,21,0.6
321,2020-8-5 9,9,22,9,5,18,0.6
322,2020-8-5 10,11,24,10,4,19,0.7
323,2020-8-5 11,11,29,16,6,25,0.8
324,2020-8-5 12,11,18,31,12,47,0.7
325,2020-8-5 13,7,9,21,14,35,0.5
326,2020-8-5 14,8,18,0,7,46,0.6
327,2020-8-5 15,8,18,16,7,27,0.6
328,2020-8-5 16,9,30,13,12,12,0.6
329,2020-8-5 17,13,36,12,9,7,0.7
330,2020-8-5 18,12,36,25,9,6,0.8
331,2020-8-5 19,13,37,22,11,5,0.8
332,2020-8-5 20,10,39,23,11,4,0.8
333,2020-8-5 21,10,35,17,14,4,0.8
334,2020-8-5 22,10,35,19,9,5,0.7
335,2020-8-5 23,13,37,16,10,11,0.7
336,2020-8-6 0,15,35,20,11,7,0.7
337,2020-8-6 1,9,24,19,7,7,0.6
338,2020-8-6 2,8,15,4,6,12,0.5
339,2020-8-6 3,8,14,2,4,12,0.5
340,2020-8-6 4,9,16,4,2,9,0.5
341,2020-8-6 5,12,22,9,3,5,0.5
342,2020-8-6 6,10,22,12,6,6,0.7
343,2020-8-6 7,10,22,16,5,9,0.7
344,2020-8-6 8,13,26,20,3,14,0.8
345,2020-8-6 9,14,34,23,8,26,0.8
346,2020-8-6 10,12,38,29,8,54,0.7
347,2020-8-6 11,10,28,27,10,73,0.6
348,2020-8-6 12,11,20,31,15,98,0.6
349,2020-8-6 13,9,14,25,11,118,0.5
350,2020-8-6 14,9,15,22,11,102,0.5
351,2020-8-6 15,14,16,24,7,96,0.5
352,2020-8-6 16,10,19,24,8,87,0.5
353,2020-8-6 17,10,26,29,6,55,0.6
354,2020-8-6 18,9,24,32,5,38,0.7
355,2020-8-6 19,9,26,34,11,25,0.7
356,2020-8-6 20,10,23,30,10,15,0.6
357,2020-8-6 21,9,20,30,6,18,0.6
358,2020-8-6 22,9,23,27,6,15,0.6
359,2020-8-6 23,10,27,23,8,12,0.7
360,2020-8-7 0,10,26,27,9,9,0.7
361,2020-8-7 1,11,21,29,8,8,0.5
362,2020-8-7 2,10,23,22,6,5,0.6
363,2020-8-7 3,11,24,17,9,4,0.6
364,2020-8-7 4,11,25,23,6,5,0.7
365,2020-8-7 5,11,25,29,6,4,0.8
366,2020-8-7 6,12,25,27,6,5,0.8
367,2020-8-7 7,11,24,31,12,6,0.8
368,2020-8-7 8,13,26,36,6,9,0.8
369,2020-8-7 9,15,23,38,14,16,0.7
370,2020-8-7 10,13,16,30,10,30,0.6
371,2020-8-7 11,9,15,29,6,66,0.6
372,2020-8-7 12,15,24,26,9,90,0.6
373,2020-8-7 13,11,22,38,12,88,0.6
374,2020-8-7 14,9,13,34,14,88,0.5
375,2020-8-7 15,9,14,22,11,93,0.5
376,2020-8-7 16,12,13,19,7,78,0.5
377,2020-8-7 17,11,17,8,5,68,0.5
378,2020-8-7 18,11,20,20,5,59,0.6
379,2020-8-7 19,11,21,27,2,42,0.6
380,2020-8-7 20,10,25,28,7,24,0.6
381,2020-8-7 21,11,28,33,7,13,0.6
382,2020-8-7 22,11,26,32,11,13,0.6
383,2020-8-7 23,11,24,32,7,14,0.6
384,2020-8-8 0,11,16,27,8,22,0.6
385,2020-8-8 1,10,24,21,6,14,0.5
386,2020-8-8 2,10,24,25,3,13,0.5
387,2020-8-8 3,10,22,20,5,13,0.5
388,2020-8-8 4,10,16,21,6,16,0.5
389,2020-8-8 5,12,23,20,5,11,0.5
390,2020-8-8 6,10,23,23,2,9,0.6
391,2020-8-8 7,11,18,15,1,15,0.6
392,2020-8-8 8,18,20,22,3,16,0.6
393,2020-8-8 9,22,17,26,10,27,0.5
394,2020-8-8 10,16,18,26,10,43,0.5
395,2020-8-8 11,13,18,23,9,66,0.5
396,2020-8-8 12,12,19,22,9,98,0.6
397,2020-8-8 13,12,16,35,10,137,0.6
398,2020-8-8 14,10,14,37,9,155,0.5
399,2020-8-8 15,9,15,33,9,156,0.5
400,2020-8-8 16,11,20,32,15,139,0.5
401,2020-8-8 17,15,20,35,11,118,0.5
402,2020-8-8 18,11,20,28,7,109,0.6
403,2020-8-8 19,11,18,41,8,80,0.6
404,2020-8-8 20,10,21,35,9,47,0.6
405,2020-8-8 21,11,24,34,6,24,0.6
406,2020-8-8 22,11,20,23,1,22,0.5
407,2020-8-8 23,12,20,18,4,18,0.5
408,2020-8-9 0,10,17,16,4,18,0.5
409,2020-8-9 1,9,14,13,1,20,0.6
410,2020-8-9 2,11,17,11,1,15,0.8
411,2020-8-9 3,10,19,23,2,15,0.7
412,2020-8-9 4,10,15,21,3,20,0.6
413,2020-8-9 5,10,15,17,4,19,0.5
414,2020-8-9 6,10,15,16,5,19,0.5
415,2020-8-9 7,10,10,17,3,24,0.5
416,2020-8-9 8,10,7,16,5,30,0.5
417,2020-8-9 9,10,6,14,5,41,0.5
418,2020-8-9 10,10,10,17,2,51,0.5
419,2020-8-9 11,9,7,19,8,69,0.5
420,2020-8-9 12,9,5,15,6,82,0.5
421,2020-8-9 13,9,3,19,5,77,0.4
422,2020-8-9 14,9,5,7,3,93,0.5
423,2020-8-9 15,9,8,11,1,100,0.5
424,2020-8-9 16,10,7,24,2,130,0.5
425,2020-8-9 17,12,11,22,4,150,0.6
426,2020-8-9 18,12,15,38,14,102,0.7
427,2020-8-9 19,9,10,44,17,64,0.7
428,2020-8-9 20,9,12,30,8,40,0.6
429,2020-8-9 21,10,16,24,5,27,0.6
430,2020-8-9 22,12,13,19,2,24,0.7
431,2020-8-9 23,17,12,16,2,31,0.6
432,2020-8-10 0,14,11,13,2,27,0.6
433,2020-8-10 1,10,11,17,5,24,0.5
434,2020-8-10 2,11,16,16,4,19,0.5
435,2020-8-10 3,11,14,21,3,18,0.5
436,2020-8-10 4,11,16,23,2,16,0.6
437,2020-8-10 5,10,21,19,3,11,0.5
438,2020-8-10 6,11,24,18,4,10,0.6
439,2020-8-10 7,11,15,21,3,22,0.6
440,2020-8-10 8,10,9,15,2,31,0.6
441,2020-8-10 9,10,10,13,1,39,0.5
442,2020-8-10 10,10,9,15,5,56,0.5
443,2020-8-10 11,9,6,15,6,81,0.6
444,2020-8-10 12,9,7,20,5,94,0.6
445,2020-8-10 13,9,8,25,5,110,0.5
446,2020-8-10 14,9,7,25,8,104,0.5
447,2020-8-10 15,10,10,21,8,105,0.4
448,2020-8-10 16,11,12,24,6,122,0.4
449,2020-8-10 17,11,18,29,8,108,0.5
450,2020-8-10 18,11,22,42,9,83,0.5
451,2020-8-10 19,10,22,40,8,67,0.6
452,2020-8-10 20,12,21,36,8,35,0.7
453,2020-8-10 21,17,24,32,7,15,0.7
454,2020-8-10 22,12,10,25,4,24,0.5
455,2020-8-10 23,11,15,12,2,22,0.5
456,2020-8-11 0,10,13,11,1,22,0.4
457,2020-8-11 1,11,13,16,3,20,0.4
458,2020-8-11 2,10,13,14,3,18,0.4
459,2020-8-11 3,11,16,11,4,15,0.4
460,2020-8-11 4,13,19,24,4,12,0.5
461,2020-8-11 5,13,22,24,4,9,0.5
462,2020-8-11 6,14,24,20,3,10,0.5
463,2020-8-11 7,14,16,26,4,18,0.5
464,2020-8-11 8,12,13,17,7,24,0.5
465,2020-8-11 9,11,12,15,5,36,0.5
466,2020-8-11 10,10,9,18,6,53,0.5
467,2020-8-11 11,10,7,18,10,76,0.4
468,2020-8-11 12,10,10,21,7,99,0.5
469,2020-8-11 13,10,8,22,4,80,0.4
470,2020-8-11 14,10,10,20,3,65,0.4
471,2020-8-11 15,11,9,16,7,68,0.5
472,2020-8-11 16,11,7,21,4,66,0.5
473,2020-8-11 17,10,10,21,4,56,0.5
474,2020-8-11 18,11,13,24,2,42,0.5
475,2020-8-11 19,12,15,27,2,30,0.6
476,2020-8-11 20,12,15,26,9,28,0.5
477,2020-8-11 21,12,13,22,10,30,0.5
478,2020-8-11 22,11,11,18,6,28,0.5
479,2020-8-11 23,10,9,17,7,30,0.5
480,2020-8-12 0,10,8,21,4,30,0.4
481,2020-8-12 1,9,8,10,2,31,0.4
482,2020-8-12 2,10,10,14,4,29,0.4
483,2020-8-12 3,9,7,10,8,31,0.4
484,2020-8-12 4,9,7,7,4,32,0.4
485,2020-8-12 5,10,19,8,1,17,0.5
486,2020-8-12 6,10,20,11,4,19,0.5
487,2020-8-12 7,14,21,14,9,24,0.6
488,2020-8-12 8,17,24,20,18,21,0.7
489,2020-8-12 9,17,20,19,18,37,0.6
490,2020-8-12 10,16,27,20,10,39,0.7
491,2020-8-12 11,21,24,30,11,61,0.6
492,2020-8-12 12,17,14,36,19,98,0.5
493,2020-8-12 13,13,20,31,10,103,0.6
494,2020-8-12 14,9,17,29,11,51,0.5
495,2020-8-12 15,9,17,9,18,45,0.5
496,2020-8-12 16,8,16,6,13,44,0.5
497,2020-8-12 17,11,34,8,14,27,0.9
498,2020-8-12 18,9,16,14,11,44,0.6
499,2020-8-12 19,10,24,11,7,33,0.7
500,2020-8-12 20,11,28,19,10,26,0.6
501,2020-8-12 21,11,43,19,7,11,0.6
502,2020-8-12 22,11,39,24,7,9,0.6
503,2020-8-12 23,10,17,17,10,28,0.5
504,2020-8-13 0,10,12,6,7,33,0.5
505,2020-8-13 1,10,22,8,4,22,0.5
506,2020-8-13 2,9,12,7,2,34,0.5
507,2020-8-13 3,9,14,7,1,30,0.4
508,2020-8-13 4,10,21,4,2,20,0.5
509,2020-8-13 5,10,21,6,2,18,0.5
510,2020-8-13 6,10,23,5,3,16,0.6
511,2020-8-13 7,11,21,11,5,22,0.6
512,2020-8-13 8,10,21,13,7,21,0.6
513,2020-8-13 9,9,14,15,6,30,0.5
514,2020-8-13 10,9,10,10,8,38,0.5
515,2020-8-13 11,10,22,6,5,34,0.6
516,2020-8-13 12,16,24,18,8,47,0.6
517,2020-8-13 13,10,7,23,7,45,0.5
518,2020-8-13 14,10,17,8,4,37,0.5
519,2020-8-13 15,15,24,8,2,41,0.6
520,2020-8-13 16,16,24,16,2,65,0.5
521,2020-8-13 17,12,23,26,4,52,0.6
522,2020-8-13 18,10,28,25,7,39,0.6
523,2020-8-13 19,9,22,29,12,28,0.6
524,2020-8-13 20,9,21,26,9,24,0.6
525,2020-8-13 21,13,25,31,5,19,0.5
526,2020-8-13 22,10,22,26,6,19,0.5
527,2020-8-13 23,11,27,19,3,12,0.5
528,2020-8-14 0,10,27,20,8,9,0.6
529,2020-8-14 1,13,29,22,6,5,0.5
530,2020-8-14 2,13,24,19,6,9,0.5
531,2020-8-14 3,16,29,18,7,5,0.5
532,2020-8-14 4,17,29,28,9,5,0.6
533,2020-8-14 5,14,28,23,5,4,0.6
534,2020-8-14 6,12,27,17,2,6,0.7
535,2020-8-14 7,18,22,24,6,13,0.7
536,2020-8-14 8,24,16,27,9,24,0.6
537,2020-8-14 9,10,15,23,7,46,0.6
538,2020-8-14 10,9,18,22,4,53,0.6
539,2020-8-14 11,10,11,24,5,70,0.5
540,2020-8-14 12,9,8,21,6,69,0.5
541,2020-8-14 13,8,8,11,2,51,0.5
542,2020-8-14 14,10,16,17,2,48,0.6
543,2020-8-14 15,11,16,17,13,49,0.6
544,2020-8-14 16,12,19,16,16,80,0.6
545,2020-8-14 17,10,16,25,7,60,0.6
546,2020-8-14 18,9,24,22,10,39,0.6
547,2020-8-14 19,9,22,32,11,32,0.6
548,2020-8-14 20,9,21,21,9,19,0.6
549,2020-8-14 21,9,19,21,6,18,0.6
550,2020-8-14 22,10,27,25,8,13,0.6
551,2020-8-14 23,11,25,26,6,14,0.7
552,2020-8-15 0,9,15,23,12,20,0.5
553,2020-8-15 1,10,21,19,9,16,0.5
554,2020-8-15 2,10,23,22,6,12,0.5
555,2020-8-15 3,12,27,18,10,7,0.5
556,2020-8-15 4,11,28,26,11,6,0.6
557,2020-8-15 5,11,28,28,6,6,0.6
