,place,1,2,3,4,5,6,7,8,9,10,11,12
11066,A,2020-7-24 6,5,18,9,3,5,0.5,29.3,79,1007.5,1,265.8
11067,A,2020-7-24 7,6,19,31,5,8,0.6,29.8,78,1008.2,0.9,275.5
11068,A,2020-7-24 8,9,14,8,8,22,0.5,31.7,66,1008.4,1.1,256.1
11069,A,2020-7-24 9,9,13,46,5,36,0.5,32.5,61,1008.4,1.4,254.6
11070,A,2020-7-24 10,8,11,44,5,75,0.5,33.3,56,1007.9,1.4,257.4
11071,A,2020-7-24 11,7,9,40,8,114,0.5,34.7,52,1007.4,1,245.7
11072,A,2020-7-24 12,6,8,30,7,136,0.5,35.1,50,1006.7,1.6,256.5
11073,A,2020-7-24 13,5,5,29,10,134,0.5,36,48,1005.8,1.6,259
11074,A,2020-7-24 14,5,6,28,8,146,0.5,36.3,48,1005.1,1.7,226.3
11075,A,2020-7-24 15,5,7,34,9,153,0.5,36.6,47,1004.4,1.1,193.5
11076,A,2020-7-24 16,5,7,39,14,157,0.4,37.4,45,1003.8,1.1,269
11077,A,2020-7-24 17,5,15,55,17,155,0.5,35.9,52,1003.4,1.8,115.2
11078,A,2020-7-24 18,4,21,64,18,99,0.5,33.9,64,1003.3,2.4,118.2
11079,A,2020-7-24 19,4,23,29,11,67,0.5,33.2,66,1003.8,2.1,123.5
11080,A,2020-7-24 20,5,16,23,10,45,0.6,33,65,1004.4,1.8,250.4
11081,A,2020-7-24 21,5,15,8,6,28,0.6,32.6,64,1005,2.1,257.7
11082,A,2020-7-24 22,6,20,15,6,19,0.6,32,68,1005.6,2,239.9
11083,A,2020-7-24 23,5,13,19,8,22,0.6,31.6,71,1005.9,1.8,228.8
11084,A,2020-7-25 0,4,11,8,6,22,0.5,31.4,71,1005.8,1.6,227.1
11085,A,2020-7-25 1,5,15,5,3,16,0.5,31.1,71,1005.6,0.9,241.1
11086,A,2020-7-25 2,9,24,6,2,7,0.5,30.6,73,1005.5,1,257.3
11087,A,2020-7-25 3,7,20,13,3,8,0.5,30.1,74,1005.4,1.1,265.9
11088,A,2020-7-25 4,5,17,11,3,8,0.5,29.7,74,1005.5,1.2,266.9
11089,A,2020-7-25 5,4,13,11,3,14,0.5,29.6,75,1005.4,1.3,258.9
11090,A,2020-7-25 6,4,11,9,0,15,0.5,29.6,77,1005.8,1.4,241.6
11091,A,2020-7-25 7,5,7,5,0,20,0.5,30.4,74,1006.1,1.9,250.7
11092,A,2020-7-25 8,5,5,20,0,27,0.5,31.2,69,1006.3,2,255.2
11093,A,2020-7-25 9,5,7,41,2,43,0.5,32.4,64,1006.3,1.8,249.8
11094,A,2020-7-25 10,6,8,40,6,76,0.5,33.6,59,1006,1.3,251.7
11095,A,2020-7-25 11,7,9,41,10,120,0.5,34.3,58,1005.6,1.6,218.4
11096,A,2020-7-25 12,6,5,37,14,130,0.5,35.6,54,1004.9,1.8,261.2
11097,A,2020-7-25 13,6,4,40,14,129,0.5,35.9,51,1004.1,1.5,262.3
11098,A,2020-7-25 14,5,4,28,14,139,0.4,37.1,46,1003.3,1.3,240.8
11099,A,2020-7-25 15,5,7,40,17,168,0.5,37.3,46,1002.6,1.3,176.9
11100,A,2020-7-25 16,6,11,55,18,153,0.5,36.3,53,1002.2,1.9,113.8
11101,A,2020-7-25 17,5,16,58,20,117,0.5,34.6,62,1002.3,2.4,122.4
11102,A,2020-7-25 18,4,21,45,12,87,0.5,34.2,64,1002.6,2,114.3
11103,A,2020-7-25 19,5,17,35,11,64,0.5,33.8,64,1003.4,1.8,256.9
11104,A,2020-7-25 20,6,13,21,10,45,0.6,33.1,64,1004.1,2.5,240.8
11105,A,2020-7-25 21,6,14,18,6,32,0.7,32.5,65,1004.5,2,252.4
11106,A,2020-7-25 22,6,16,8,8,24,0.6,32.2,65,1005.1,1.4,267
11107,A,2020-7-25 23,6,18,16,6,20,0.6,31.8,67,1005.4,1.7,258
11108,A,2020-7-26 0,5,10,16,4,25,0.5,31.2,71,1005.1,1.7,250.8
11109,A,2020-7-26 1,4,10,12,3,23,0.5,30.8,74,1004.8,1.8,225.7
11110,A,2020-7-26 2,7,15,8,5,20,0.5,30.8,70,1004.3,1.3,237
11111,A,2020-7-26 3,7,12,13,3,23,0.5,30.4,71,1003.9,1.3,246.7
11112,A,2020-7-26 4,6,10,18,3,24,0.5,30.2,74,1003.9,1.5,234.7
11113,A,2020-7-26 5,8,11,16,6,22,0.5,30.1,76,1004.2,1.4,237.1
11114,A,2020-7-26 6,5,9,15,4,21,0.5,29.9,78,1004.8,1.3,253.1
11115,A,2020-7-26 7,5,9,6,4,21,0.5,30.8,74,1005.2,1.5,251.7
11116,A,2020-7-26 8,5,6,27,6,33,0.5,31.7,69,1005.5,1.7,243.3
11117,A,2020-7-26 9,5,5,43,4,56,0.5,32.4,65,1005.7,2.1,228.4
11118,A,2020-7-26 10,7,5,42,6,78,0.5,33.4,61,1005.7,1.7,243.2
11119,A,2020-7-26 11,8,5,38,11,101,0.5,34.6,58,1005.4,1.5,245.2
11120,A,2020-7-26 12,7,4,33,10,110,0.5,34.9,56,1004.7,1.7,222.4
11121,A,2020-7-26 13,6,4,32,14,123,0.5,35.8,52,1003.6,1.6,221.4
11122,A,2020-7-26 14,5,5,33,15,124,0.5,36.2,51,1002.5,1.5,118.2
11123,A,2020-7-26 15,5,12,46,15,114,0.5,34.8,58,1002.1,2.4,123.6
11124,A,2020-7-26 16,5,12,41,11,88,0.5,33.9,62,1002.1,2.4,109.9
11125,A,2020-7-26 17,5,15,26,10,73,0.5,34.2,61,1001.7,2,145.7
11126,A,2020-7-26 18,5,9,25,7,57,0.5,33.9,59,1001.8,2.6,237.7
11127,A,2020-7-26 19,4,10,19,4,40,0.5,33.1,60,1002.3,2.4,227.8
11128,A,2020-7-26 20,5,12,11,1,25,0.5,32.4,62,1002.8,1.7,269.1
11129,A,2020-7-26 21,6,12,4,2,19,0.5,31.9,61,1003.5,1.6,262.9
11130,A,2020-7-26 22,5,12,6,3,18,0.5,31.4,65,1004.3,1.4,284.4
11131,A,2020-7-26 23,5,9,4,5,19,0.5,31.1,67,1004.4,1.5,251.4
11132,A,2020-7-27 0,5,7,17,3,20,0.5,30.6,72,1004.4,1.7,262.7
11133,A,2020-7-27 1,4,6,5,3,22,0.5,30.2,74,1004.1,2.2,235.4
11134,A,2020-7-27 2,5,6,9,2,21,0.5,30,72,1003.8,1.8,230.4
11135,A,2020-7-27 3,5,7,6,0,20,0.5,29.8,73,1003.5,1.5,238
11136,A,2020-7-27 4,5,8,10,0,20,0.5,29.7,74,1003.5,1,243.4
11137,A,2020-7-27 5,4,11,8,0,16,0.5,29.6,75,1003.6,1,257
11138,A,2020-7-27 6,6,12,8,0,15,0.5,29.8,75,1004,1.1,107.9
11139,A,2020-7-27 7,5,7,9,0,20,0.6,30.9,71,1004.4,1.2,227.1
11140,A,2020-7-27 8,7,10,34,0,23,0.5,31,70,1004.9,1.6,240.5
11141,A,2020-7-27 9,9,10,37,3,41,0.5,32.5,64,1004.8,1.3,245.9
11142,A,2020-7-27 10,7,10,39,8,58,0.5,32.5,63,1004.6,1.8,236
11143,A,2020-7-27 11,6,6,42,14,76,0.5,33.9,56,1004.2,1.8,249.3
11144,A,2020-7-27 12,6,3,45,19,77,0.4,35,53,1004,1.8,249.2
11145,A,2020-7-27 13,6,3,48,3,77,0.4,34.9,53,1003.4,2,238.9
11146,A,2020-7-27 14,5,7,50,3,74,0.4,34.7,54,1002.8,2.1,153.1
11147,A,2020-7-27 15,4,11,53,6,65,0.4,32.9,64,1002.4,2.6,129.3
11148,A,2020-7-27 16,4,14,25,5,68,0.4,33.7,61,1001.9,2.5,124.7
11149,A,2020-7-27 17,4,18,43,8,60,0.5,33.6,64,1001.8,2.1,126
11150,A,2020-7-27 18,5,14,23,6,43,0.5,33.9,56,1002,2,243.4
11151,A,2020-7-27 19,5,12,18,3,31,0.5,32.9,60,1002.7,2.6,240.4
11152,A,2020-7-27 20,5,13,12,4,25,0.5,32,65,1003.5,2.6,227.7
11153,A,2020-7-27 21,4,8,10,5,23,0.5,31.4,69,1004.3,2.4,237.2
11154,A,2020-7-27 22,4,9,10,4,19,0.5,30.9,73,1005.1,2,254.9
11155,A,2020-7-27 23,4,8,11,1,18,0.5,30.5,75,1005.3,1.3,335.1
11156,A,2020-7-28 0,4,9,9,2,18,0.5,30.2,77,1005,1.3,270.7
11157,A,2020-7-28 1,5,9,14,3,17,0.5,30.1,76,1004.7,1.5,258
11158,A,2020-7-28 2,5,6,15,3,18,0.5,29.8,77,1004.3,1.7,275.4
11159,A,2020-7-28 3,5,7,10,2,16,0.5,29.7,79,1004.7,1.5,258.4
11160,A,2020-7-28 4,5,7,13,2,17,0.5,29.8,78,1004.9,1.4,261.2
11161,A,2020-7-28 5,5,10,17,1,16,0.6,29.8,78,1005.4,1.5,246.3
11162,A,2020-7-28 6,5,17,18,3,7,0.5,29.8,80,1005.8,0.9,262.1
11163,A,2020-7-28 7,5,16,32,3,9,0.6,29.8,78,1006.2,0.8,275.2
11164,A,2020-7-28 8,6,9,9,3,22,0.5,31.4,68,1006.5,1.3,247.4
11165,A,2020-7-28 9,4,7,45,1,33,0.4,32.1,64,1006.5,1.4,260.8
11166,A,2020-7-28 10,5,6,25,0,51,0.4,33.3,60,1006.6,1.4,243.6
11167,A,2020-7-28 11,4,5,37,1,73,0.4,34.2,56,1006.1,1.6,228.4
11168,A,2020-7-28 12,5,4,16,7,99,0.5,35,53,1005.3,1.6,235
11169,A,2020-7-28 13,6,13,46,9,95,0.5,32.6,64,1004.8,2,186.6
11170,A,2020-7-28 14,4,37,26,9,72,0.5,31.3,69,1004.3,1.8,66.2
11171,A,2020-7-28 15,4,21,13,17,92,0.5,32.6,64,1003.5,2,108.1
11172,A,2020-7-28 16,5,15,25,11,108,0.5,34.1,60,1003,2.1,85.7
11173,A,2020-7-28 17,4,14,46,10,78,0.5,33.2,62,1003.1,2.4,72.5
11174,A,2020-7-28 18,3,12,24,9,58,0.5,31.1,68,1003.5,2,245.9
11175,A,2020-7-28 19,4,33,13,6,27,0.8,31.6,71,1004.1,1.2,317.3
11176,A,2020-7-28 20,5,32,21,13,12,0.7,31.9,69,1005.1,1.5,258.7
11177,A,2020-7-28 21,6,20,15,11,12,0.7,31.6,68,1005.9,1.9,236.9
11178,A,2020-7-28 22,6,18,14,6,10,0.7,31.2,69,1006.4,1.7,240.3
11179,A,2020-7-28 23,6,19,23,3,7,0.7,30.7,73,1006.3,1,67.2
11180,A,2020-7-29 0,6,13,14,2,11,0.6,30.4,74,1005.9,1.1,310.3
11181,A,2020-7-29 1,5,13,20,0,11,0.6,30,77,1005.3,1.1,64.1
11182,A,2020-7-29 2,5,14,11,0,11,0.6,30,77,1004.9,1,250.1
11183,A,2020-7-29 3,6,13,17,1,11,0.5,29.9,78,1004.8,1.1,256.6
11184,A,2020-7-29 4,5,15,13,4,8,0.5,29.6,79,1004.9,1,260.3
11185,A,2020-7-29 5,4,16,14,2,7,0.5,29.3,80,1005,1.1,268.2
11186,A,2020-7-29 6,4,10,10,3,13,0.5,29.6,79,1005.6,0.8,268.5
11187,A,2020-7-29 7,5,10,5,2,16,0.5,30.8,74,1006.1,1,254.5
11188,A,2020-7-29 8,7,8,30,0,21,0.5,31.6,67,1006.3,1.1,232.5
11189,A,2020-7-29 9,7,6,31,3,29,0.4,32.8,61,1006.5,1.3,241.7
11190,A,2020-7-29 10,6,9,34,2,50,0.5,33.4,59,1006.2,1.2,266.9
11191,A,2020-7-29 11,6,7,35,3,86,0.4,34.3,55,1005.8,1.1,256.3
11192,A,2020-7-29 12,5,5,19,7,105,0.4,35.7,50,1005.1,1.1,326.9
11193,A,2020-7-29 13,4,5,33,9,131,0.4,35.9,50,1004,1.4,19.1
11194,A,2020-7-29 14,4,6,30,11,145,0.4,36,48,1003.2,1.5,47.9
11195,A,2020-7-29 15,4,9,36,10,155,0.4,35.9,48,1002.8,1.6,118.6
11196,A,2020-7-29 16,5,16,50,10,126,0.5,34.1,59,1002.8,2.5,127.4
11197,A,2020-7-29 17,4,20,38,12,104,0.5,33,64,1002.9,2.3,115.6
11198,A,2020-7-29 18,4,19,31,21,65,0.5,32.4,65,1004,2.2,114.3
11199,A,2020-7-29 19,4,40,34,7,41,0.5,31.3,73,1004.9,2.6,97.4
11200,A,2020-7-29 20,5,67,20,11,16,0.6,30.8,73,1005.6,1.7,94.9
11201,A,2020-7-29 21,5,66,30,18,17,0.7,30.3,74,1005.8,1.7,78.1
11202,A,2020-7-29 22,5,68,45,20,10,0.7,30.1,76,1006.2,1.6,78
11203,A,2020-7-29 23,5,71,59,20,5,0.8,29.9,78,1006.2,1.4,51.9
11204,A,2020-7-30 0,5,61,51,26,3,0.8,29.6,80,1006.1,1.7,56.2
11205,A,2020-7-30 1,4,52,52,20,3,0.7,29.3,82,1005.6,1.5,54.9
11206,A,2020-7-30 2,4,49,47,26,1,0.7,28.9,84,1005.5,1.4,64.5
11207,A,2020-7-30 3,4,43,47,24,0,0.7,28.8,84,1005.5,1.4,69.3
11208,A,2020-7-30 4,4,39,32,17,0,0.6,28.7,84,1005.5,1.6,64.8
11209,A,2020-7-30 5,4,35,31,14,0,0.6,28.6,83,1005.5,1.8,65.3
11210,A,2020-7-30 6,5,31,33,9,2,0.6,28.9,82,1005.7,1.2,59
11211,A,2020-7-30 7,5,26,17,11,14,0.6,29.7,77,1005.9,1.6,63.5
11212,A,2020-7-30 8,6,25,28,8,23,0.6,30.3,72,1006.2,1.7,56
11213,A,2020-7-30 9,6,19,29,6,38,0.5,31.4,65,1006.4,1.5,89.7
11214,A,2020-7-30 10,5,17,27,3,67,0.5,32.3,62,1006.3,1.3,61.8
11215,A,2020-7-30 11,5,15,39,5,116,0.5,32.8,59,1005.8,1.7,66.3
11216,A,2020-7-30 12,5,13,24,13,155,0.5,33.5,55,1005.4,2.3,73.7
11217,A,2020-7-30 13,5,13,30,13,179,0.5,34.3,53,1004.6,2.1,67.2
11218,A,2020-7-30 14,5,14,44,17,176,0.5,34.7,52,1003.4,2.1,53.1
11219,A,2020-7-30 15,4,15,53,15,129,0.5,32.5,59,1003.2,3.3,109.1
11220,A,2020-7-30 16,4,16,29,10,98,0.5,32.3,60,1003,1.3,41.4
11221,A,2020-7-30 17,4,24,26,9,73,0.6,32.7,60,1002.8,0.9,64.6
11222,A,2020-7-30 18,4,18,19,10,61,0.6,32.5,60,1002.7,1.1,77.2
11223,A,2020-7-30 19,4,25,13,8,36,0.6,32.2,60,1004,1.6,110.8
11224,A,2020-7-30 20,5,27,20,6,30,0.6,31.1,68,1005,1.2,95.5
11225,A,2020-7-30 21,5,37,22,7,24,0.6,30.9,71,1005.4,1.1,98.4
11226,A,2020-7-30 22,5,47,28,11,13,0.6,30.6,72,1005.3,1.2,71.2
11227,A,2020-7-30 23,5,46,39,10,18,0.6,30.3,71,1005,1.6,58.6
11228,A,2020-7-31 0,5,45,25,12,18,0.6,30,70,1004.5,1.6,69.7
11229,A,2020-7-31 1,5,50,30,15,7,0.7,29.7,73,1003.7,1.4,64.1
11230,A,2020-7-31 2,6,44,36,16,8,0.6,29.6,72,1003.1,1.8,66.1
11231,A,2020-7-31 3,6,40,34,12,8,0.7,29.2,74,1002.4,1.7,64.2
11232,A,2020-7-31 4,11,38,32,12,7,0.6,28.8,76,1002.2,1.8,50.1
11233,A,2020-7-31 5,10,33,26,10,10,0.6,28.5,76,1002.3,1.7,48.7
11234,A,2020-7-31 6,7,36,25,9,9,0.6,28.7,75,1002.6,2,38
11235,A,2020-7-31 7,9,24,28,13,23,0.6,29.4,72,1003.3,2.5,43.1
11236,A,2020-7-31 8,10,21,46,12,30,0.6,29.7,70,1003.6,3,44.2
11237,A,2020-7-31 9,8,30,48,11,21,0.6,28.8,77,1004.1,2.5,63.7
11238,A,2020-7-31 10,6,26,36,22,28,0.6,28.7,80,1004.3,2.7,81.3
11239,A,2020-7-31 11,5,14,14,14,46,0.5,30,71,1003.8,3.6,80.2
11240,A,2020-7-31 12,5,17,4,6,56,0.5,30.5,68,1003.4,3.4,76.3
11241,A,2020-7-31 13,4,8,15,1,45,0.5,30.7,66,1002.9,4,78.6
11242,A,2020-7-31 14,4,11,15,2,44,0.5,30.7,66,1002.1,3.8,67.5
11243,A,2020-7-31 15,4,17,19,1,45,0.5,30.2,69,1001.6,2.8,79.8
11244,A,2020-7-31 16,4,18,26,5,42,0.5,28.6,80,1001.4,3,72.6
11245,A,2020-7-31 17,4,16,11,6,30,0.5,29.3,72,1001.2,4,75.8
11246,A,2020-7-31 18,4,16,9,3,18,0.5,28.7,74,1001.1,3.7,66
11247,A,2020-7-31 19,4,22,13,0,9,0.5,27.8,80,1002,3.5,64.7
11248,A,2020-7-31 20,4,24,18,0,4,0.6,26.5,89,1002.6,2.4,61.7
11249,A,2020-7-31 21,4,25,10,3,3,0.6,26.9,87,1003.6,3.1,59.2
11250,A,2020-7-31 22,3,23,10,4,4,0.6,26.8,87,1003.8,2.4,56.4
11251,A,2020-7-31 23,4,22,9,1,6,0.5,27.2,84,1003.3,2.6,56.5
11252,A,2020-8-1 0,4,21,19,2,5,0.5,27.2,84,1003,2.5,65.5
11253,A,2020-8-1 1,4,21,17,2,3,0.5,26.5,88,1002.7,2.2,61.4
11254,A,2020-8-1 2,4,19,6,0,5,0.5,26.4,90,1002.4,2.1,60.6
11255,A,2020-8-1 3,4,19,12,3,5,0.5,26.7,89,1001.9,2.2,52.2
11256,A,2020-8-1 4,4,16,10,3,7,0.5,27,86,1001.8,2.6,63
11257,A,2020-8-1 5,4,17,16,1,5,0.5,26.6,89,1001.8,2.7,61.4
11258,A,2020-8-1 6,4,17,14,1,5,0.5,26.6,90,1002,2.6,62.3
11259,A,2020-8-1 7,4,17,10,3,6,0.5,27.4,85,1002.2,2.9,63.2
11260,A,2020-8-1 8,4,16,14,4,13,0.5,28.2,81,1002.6,3.5,69.9
11261,A,2020-8-1 9,4,13,17,2,20,0.5,28.1,83,1002.8,3.1,76.1
11262,A,2020-8-1 10,4,12,16,2,25,0.5,28.4,82,1002.9,3.8,77.6
11263,A,2020-8-1 11,4,18,10,3,30,0.6,28.5,83,1002.7,2.8,67.3
11264,A,2020-8-1 12,4,15,32,3,57,0.6,28.9,82,1002.2,3.3,80.6
11265,A,2020-8-1 13,3,7,25,6,45,0.5,27.7,86,1001.8,3.3,99.4
11266,A,2020-8-1 14,3,9,6,6,34,0.5,27.4,88,1001.7,2.3,87.7
11267,A,2020-8-1 15,3,17,9,3,24,0.5,27.2,90,1001.3,2,70.7
11268,A,2020-8-1 16,3,21,13,5,26,0.5,27,90,1001.3,2.7,75.4
11269,A,2020-8-1 17,4,18,14,4,28,0.5,25.9,90,1001.7,2.4,91.6
11270,A,2020-8-1 18,3,27,4,2,17,0.6,26.6,88,1002,1.7,93.3
11271,A,2020-8-1 19,4,37,20,3,6,0.6,26.6,90,1002.2,1.6,65.8
11272,A,2020-8-1 20,4,33,16,3,8,0.6,26.6,90,1002.7,2.1,68.2
11273,A,2020-8-1 21,4,32,12,5,7,0.6,26.5,89,1003.4,1.9,66.1
11274,A,2020-8-1 22,4,34,17,6,6,0.6,26.6,88,1004.1,2,65.6
11275,A,2020-8-1 23,4,26,19,6,9,0.6,26.1,92,1004,1.8,56
11276,A,2020-8-2 0,4,26,14,4,7,0.6,26,93,1003.5,1.7,54.9
11277,A,2020-8-2 1,4,23,12,4,8,0.6,26.2,92,1002.9,2,60.4
11278,A,2020-8-2 2,4,20,8,5,9,0.6,26.4,91,1002.3,2.2,59.8
11279,A,2020-8-2 3,4,14,8,6,14,0.5,26.1,92,1002,2.2,56.5
11280,A,2020-8-2 4,4,16,12,1,12,0.5,25.9,95,1001.8,1.8,65.8
11281,A,2020-8-2 5,3,18,6,0,13,0.5,25.8,95,1001.8,1.8,63.5
11282,A,2020-8-2 6,3,24,8,0,12,0.5,25.8,96,1002.1,2,71.1
11283,A,2020-8-2 7,3,30,9,3,11,0.5,25.7,96,1002.4,1.9,69.2
11284,A,2020-8-2 8,3,29,10,2,13,0.6,26.1,95,1002.9,1.9,66.4
11285,A,2020-8-2 9,6,24,11,1,30,0.8,26.8,92,1002.8,1.3,63.5
11286,A,2020-8-2 10,8,19,12,0,46,1,27.5,89,1002.7,0.7,60.6
11287,A,2020-8-2 14,2,14,13,0,59,0.8,28.9,84,1001.9,0.7,47.7
11288,A,2020-8-2 15,2,13,14,0,81,0.8,29.8,77,1001.3,1.4,105.2
11289,A,2020-8-2 16,2,16,15,0,55,0.8,29.5,78,1001.1,1,244.5
11290,A,2020-8-2 17,2,11,13,0,51,0.7,27.6,87,1000.8,1.3,258.9
11291,A,2020-8-2 18,2,19,10,0,40,0.8,27,93,1001.2,1,46.1
11292,A,2020-8-2 19,3,37,8,2,14,0.8,27.3,91,1002,0.8,68.7
11293,A,2020-8-2 20,2,31,6,5,12,0.8,27.4,91,1002.6,0.6,78.7
11294,A,2020-8-2 21,3,37,2,6,5,0.8,27.2,90,1003.2,1.1,58.6
11295,A,2020-8-2 22,3,37,15,8,4,0.8,27.1,88,1003.7,1,64.1
11296,A,2020-8-2 23,3,33,21,6,6,0.8,27.1,88,1003.3,1.6,62.3
11297,A,2020-8-3 0,3,30,21,8,6,0.8,26.9,89,1002.8,1.7,60.4
11298,A,2020-8-3 1,3,25,15,6,12,0.7,26.6,89,1002.2,1.7,63.3
11299,A,2020-8-3 2,3,24,13,2,9,0.7,26.5,91,1001.6,1.5,44.8
11300,A,2020-8-3 3,3,21,15,1,12,0.7,26.2,93,1001,1.7,58
11301,A,2020-8-3 4,2,16,5,3,20,0.7,26.1,93,1000.7,2.3,85.6
11302,A,2020-8-3 5,2,12,0,4,29,0.6,26.3,91,1001,2,88.7
11303,A,2020-8-3 6,2,16,1,2,23,0.7,26.4,92,1001.6,1.4,92
11304,A,2020-8-3 7,3,26,7,0,11,0.8,26.8,92,1002,1.1,84.6
11305,A,2020-8-3 8,3,32,18,5,7,0.9,26.8,92,1002.3,1.4,66.8
11306,A,2020-8-3 9,3,25,12,6,20,0.8,27.9,86,1002.6,1.5,65.5
11307,A,2020-8-3 10,4,24,21,4,27,0.8,28.6,82,1002.6,1.5,58.3
11308,A,2020-8-3 11,3,17,41,2,36,0.7,27.1,89,1002.4,1.2,89.9
11309,A,2020-8-3 12,3,25,28,2,24,0.8,27.4,89,1001.9,0.8,24.5
11310,A,2020-8-3 13,2,25,16,2,39,0.7,28.4,84,1001.3,1.4,83.1
11311,A,2020-8-3 14,2,20,15,2,41,0.7,27.6,88,1000.9,1.7,47
11312,A,2020-8-3 15,2,22,8,0,47,0.7,26.6,94,1000.2,1.4,73.4
11313,A,2020-8-3 16,3,29,9,1,47,0.8,27.2,91,1000,1,102.2
11314,A,2020-8-3 17,2,30,28,6,44,0.8,27.3,90,1000.2,0.9,94.1
11315,A,2020-8-3 18,3,36,25,9,30,0.8,27.1,90,1000.3,1.2,112.4
11316,A,2020-8-3 19,3,32,16,11,21,0.8,27,90,1000.9,0.9,93.1
11317,A,2020-8-3 20,3,29,21,14,19,0.8,26.9,91,1001.5,1.1,106.5
11318,A,2020-8-3 21,2,28,14,9,19,0.7,27,91,1002,1.1,106.7
11319,A,2020-8-3 22,3,27,9,5,17,0.7,27.1,90,1002.3,0.6,60.8
11320,A,2020-8-3 23,3,37,13,3,6,0.7,27,91,1002.4,0.8,95.5
11321,A,2020-8-4 0,3,40,27,4,3,0.7,27,91,1002.2,0.8,93.5
11322,A,2020-8-4 1,3,41,16,3,0,0.8,26.8,92,1001.7,0.4,29.9
11323,A,2020-8-4 2,3,38,19,3,1,0.8,26.8,93,1001.4,0.4,74.3
11324,A,2020-8-4 3,3,26,11,9,11,0.8,26.7,92,1001.2,0.6,25.1
11325,A,2020-8-4 4,3,20,10,7,15,0.7,26.8,91,1001.2,0.6,64.7
11326,A,2020-8-4 5,4,30,18,6,3,0.8,26.6,93,1001.1,0.4,58.7
11327,A,2020-8-4 6,4,29,25,7,3,0.8,26.7,94,1001.4,0.6,72.9
11328,A,2020-8-4 7,4,22,21,9,16,0.8,27.1,90,1001.8,1,92
11329,A,2020-8-4 8,5,19,11,8,24,0.8,28.1,84,1002,1,106.9
11330,A,2020-8-4 9,4,22,20,6,46,0.8,29.4,76,1002.5,1.1,71.8
11331,A,2020-8-4 10,5,30,46,10,69,0.8,29.9,75,1002.5,1.4,61.3
11332,A,2020-8-4 11,8,21,38,11,92,0.8,30.8,71,1002.3,1.9,71.5
11333,A,2020-8-4 12,7,11,35,18,115,0.7,31.3,66,1001.8,1.6,82.4
11334,A,2020-8-4 13,7,8,30,6,113,0.6,32.1,64,1001.4,1.6,79.6
11335,A,2020-8-4 14,6,12,49,9,83,0.6,31.6,66,1000.8,1.7,95.1
11336,A,2020-8-4 15,5,9,10,7,78,0.6,31.4,68,1000.5,2.4,106.4
