,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
16,2020-7-23 16,36.0816,321.491,0.0143229,34.6929,4.17114,188.385,0,0,1822.86,100.628,329.957,57.8768,441.582,725.345,871.594,1.88629,5.06484,6.22657,4.73313,101.186,0.114076
17,2020-7-23 17,36.1336,319.574,0.0149216,36.0226,4.77586,187.059,0,0,1831.81,100.61,289.445,49.2592,444.176,578.371,694.986,1.9133,7.19678,5.64796,4.0524,82.8953,0.110338
18,2020-7-23 18,35.6549,316.777,0.0157809,39.2207,5.23129,187.704,0,0,1779.14,100.62,229.312,37.7478,448.527,397.918,478.149,2.10779,11.8106,4.56667,3.01788,44.9267,0.106357
19,2020-7-23 19,34.5112,313.006,0.016316,43.4805,5.8999,187.888,0,0.133136,1136.63,100.658,159.648,24.4922,446.199,203.196,244.166,1.99101,15.3652,3.95661,2.41733,18.8455,0.103614
20,2020-7-23 20,33.0264,309.122,0.0158935,46.3901,6.01299,187.139,0,0.133781,697.383,100.715,85.4967,7.97428,438.765,24.7537,29.7447,2.08357,16.3819,4.21359,2.48162,11.7501,0.103479
21,2020-7-23 21,31.6025,306.871,0.0166739,53.1229,6.40215,187.443,0,0.13466,496.64,100.76,63.5346,1.69743,430.116,0,0,2.49276,17.7031,4.61767,2.7181,8.44196,0.107851
22,2020-7-23 22,30.4534,305.476,0.0189218,64.7106,6.09253,187.653,0,0.172836,484.6,100.781,53.8546,1.18813,427.797,0,0,2.97003,18.5661,4.64092,2.74179,7.54051,0.112172
23,2020-7-23 23,30.1426,304.818,0.0178392,62.1862,5.62768,185.957,0,0.310707,436.637,100.777,40.8086,1.2464,425.926,0,0,3.30606,20.4075,4.62247,2.63972,5.64735,0.115633
24,2020-7-24 0,29.59154,303.8735,0.01892925,68.27779,4.336421,188.0454,0,0.1098447,506.3519,100.7894,24.5451,0.8758035,424.2178,0,0,3.109209,21.6493,5.161705,2.978751,3.988376,0.1158154
25,2020-7-24 1,29.42938,303.5509,0.01919168,69.91324,3.825404,190.907,0,0.0997752,529.2182,100.7855,19.17763,0.7575983,424.1664,0,0,2.778788,20.93189,5.318338,3.022963,4.484792,0.1144964
26,2020-7-24 2,29.23504,303.2239,0.01924522,70.94871,3.46289,196.5718,0,0.1287477,514.4653,100.7877,15.4356,0.6753286,423.4018,0,0,2.612354,21.71225,5.83799,3.322821,3.333813,0.1176875
27,2020-7-24 3,28.85225,302.8311,0.01938859,73.17154,3.033954,216.9535,0,0.14853333,245.9396,100.7921,13.57251,0.5784996,423.3042,0,0,2.385244,22.38307,6.70076,3.798683,1.8714733,0.1230601
28,2020-7-24 4,28.58742,302.5035,0.0196177,75.26715,3.050634,217.3591,0,0.3292215,208.95549,100.8086,12.33542,0.5294182,424.7605,0,0,2.105017,21.38017,6.814764,3.888383,2.00195,0.1256199
29,2020-7-24 5,28.11954,302.163,0.01940131,76.71378,2.559463,233.2517,0,0.3530387,117.59687,100.8334,12.79502,0.522707,429.3575,0,0,2.033301,21.20108,7.001717,3.959504,1.892629,0.1262576
30,2020-7-24 6,27.67288,301.6717,0.01931072,78.51772,2.040962,242.8047,0,0.5531116,125.7326,100.8629,10.441277,0.4159537,425.2681,0,0,2.203469,18.62688,6.633626,3.736151,5.090208,0.1216098
31,2020-7-24 7,27.94741,303.2182,0.01875472,74.99478,2.095241,234.113,0,0.7721597,186.274,100.8981,30.12232,6.2130039,430.0599,88.7572,106.6534,1.673169,10.919949,5.12539,2.971889,13.86796,0.1076157
32,2020-7-24 8,29.02444,306.387,0.01838259,68.82902,2.536687,232.5785,0.00579651,0.8251122,403.0595,100.9133,75.66126,16.704929,437.2695,238.26364,286.3036,1.1609905,7.110556,5.359709,3.311077,21.66918,0.1069695
33,2020-7-24 9,29.30701,307.7424,0.01837092,67.53551,2.596774,231.3398,0.01231884,0.8211009,479.6255,100.9229,98.49282,21.47039,430.0026,322.8391,387.9319,0.946339,5.915708,6.534379,4.433382,35.95753,0.1083041
34,2020-7-24 10,30.10711,310.6446,0.01856678,65.03091,2.563027,227.9322,0.01231884,0.8099261,639.8128,100.9285,146.3297,29.58563,433.1799,451.3556,542.361,0.7717735,4.482207,7.79994,5.598522,58.52504,0.108135
35,2020-7-24 11,31.35271,314.7863,0.01855273,60.16594,2.272264,226.7194,0,0.2495368,988.2855,100.9079,209.8263,40.62145,437.0608,620.1742,745.2177,0.9183335,3.508115,8.845292,6.583803,80.04834,0.1139879
36,2020-7-24 12,32.42125,315.7719,0.01827111,55.44686,2.361275,214.4825,0,0.24586756,1196.547,100.857,211.7583,39.34078,460.9283,550.4437,661.4282,1.1865047,3.09792,10.175125,7.626755,97.83977,0.1206066
37,2020-7-24 13,33.71339,320.5086,0.01774054,49.73809,2.63539,208.911,0,0.0474543,1459.131,100.7845,312.8972,57.75245,443.6872,839.8446,1009.1778,1.5424404,3.288056,10.624762,8.155945,108.51286,0.1220966
38,2020-7-24 14,34.76788,322.2152,0.01724472,45.31638,2.959393,195.9904,0,0.0497181,1619.007,100.7043,343.8082,61.4929,453.4891,861.136,1034.763,1.675803,3.523731,9.121081,7.007909,108.2162,0.1185266
39,2020-7-24 15,35.71618,322.8908,0.01640581,40.67535,3.292889,190.5957,0,0,1773.822,100.6303,348.9229,61.87365,449.5638,839.6824,1008.984,1.679098,3.957847,8.260048,6.328051,107.747,0.1185662
40,2020-7-24 16,36.3359,322.4939,0.01646652,39.26889,3.501744,189.7348,0,0,1901.948,100.5604,326.7048,57.15237,454.1052,746.487,896.9981,1.933704,5.767377,7.014225,5.220235,93.13701,0.1181126
41,2020-7-24 17,36.59927,321.0146,0.01706617,40.0131,3.748031,187.8602,0,0,1974.199,100.5225,283.4199,48.56705,459.8325,600.9463,722.113,2.179324,9.584731,5.44013,3.791198,66.19328,0.115302
42,2020-7-24 18,36.34838,318.1328,0.01767971,42.13186,4.860703,193.0718,0,0.06635408,1722.492,100.5156,235.6075,38.06239,462.7666,420.6442,505.4574,2.281442,14.57732,4.537993,3.034265,39.16312,0.1145014
43,2020-7-24 19,35.34103,313.9255,0.0169227,42.7786,6.118459,190.0312,0,0.5019402,889.9545,100.5389,163.9482,26.19162,456.7097,222.3522,267.1842,2.3647195,19.23225,4.566427,2.940231,18.69251,0.1174416
44,2020-7-24 20,33.73751,310.0278,0.01744327,48.81548,6.712425,189.4718,0,0.05613353,588.8163,100.5858,98.35224,10.609642,449.3353,52.51666,63.1054,3.007352,22.98713,5.609685,3.561847,9.229065,0.1293256
45,2020-7-24 21,32.36844,307.7557,0.01727398,52.83026,6.359253,194.679,0,0.01990053,477.7467,100.6382,66.62746,3.087812,443.3324,4.5756,5.49816,3.487168,25.22171,6.781021,4.297,6.18816,0.138846
46,2020-7-24 22,31.57961,306.5825,0.01697591,54.3521,5.687524,190.3442,0,0.01956651,499.298,100.6767,50.2404,1.566339,439.2934,0,0,3.701066,25.64244,6.632271,4.288189,5.905653,0.1409925
47,2020-7-24 23,31.05469,305.7964,0.01632089,53.83759,4.969021,197.0249,0,0.01228863,477.0504,100.6792,38.59755,1.492522,434.6268,0,0,3.526067,24.38583,5.527674,3.631694,6.329595,0.1379793
48,2020-7-25 0,30.11335,304.5901,0.01725234,60.20311,4.329923,208.7445,0,0.0929355,417.497,100.6658,28.57579,1.216485,432.255,0,0,1.316154,14.33623,3.689741,2.439438,11.26148,0.1099774
49,2020-7-25 1,29.5565,303.9669,0.01764345,63.7715,3.972966,218.6732,0,0.1560076,354.6048,100.6723,25.46303,1.0544328,429.8128,0,0,0.706393,9.864233,3.542029,2.226783,12.74435,0.0982202
50,2020-7-25 2,28.93115,303.2324,0.01856392,69.70221,4.084384,216.4966,0,0.1834476,267.3885,100.6756,23.62252,0.8267665,424.092,0,0,0.5794949,9.504388,3.710609,2.245121,10.82717,0.09437642
51,2020-7-25 3,28.46435,302.7338,0.0194793,75.25576,3.701005,221.9693,0,0.0823088,260.9626,100.6827,21.32764,0.6190936,424.817,0,0,0.6233929,10.151258,4.116837,2.354579,8.683206,0.09264136
52,2020-7-25 4,28.1,302.2705,0.02003866,79.20708,3.701111,216.8678,0,0.1560713,197.8475,100.7002,19.28793,0.4695525,423.4002,0,0,0.9107016,11.02077,4.274803,2.382618,7.745084,0.0932817
53,2020-7-25 5,27.92122,301.9153,0.0198593,79.40504,3.741466,219.5935,0,0.06487306,180.7486,100.7218,15.87821,0.4462089,421.3618,0,0,1.2831607,12.73074,4.517804,2.487823,7.695494,0.09455722
54,2020-7-25 6,27.68453,301.5431,0.01932709,78.43548,3.63526,218.0893,0,0.04093775,145.3918,100.7449,12.88882,0.4574602,418.5231,0,0,1.793331,15.21122,5.638316,3.223453,6.873702,0.1029146
55,2020-7-25 7,27.83235,302.4835,0.01900003,76.39089,3.560935,225.2574,0,0.0876407,216.7517,100.7715,28.910827,5.2396483,420.1516,69.76655,83.8334,2.13384,12.8387,5.179377,3.171946,10.667121,0.1135051
56,2020-7-25 8,28.71153,305.2327,0.0186888,71.1345,3.697284,230.4258,0,0.04259472,344.0696,100.789,72.04638,14.97246,423.5386,215.6107,259.0832,1.806056,9.691756,4.519666,2.880635,18.39816,0.1141734
57,2020-7-25 9,29.12052,306.3871,0.01877697,69.7341,3.856458,231.5157,0,0.03955203,389.9285,100.7929,91.41609,18.65376,425.2756,273.1954,328.2785,1.16071,6.710718,5.282829,3.610373,36.21377,0.10211351
58,2020-7-25 10,30.22883,309.0877,0.01802629,62.57205,4.013286,232.8051,0,0.00845145,526.4026,100.8006,135.2489,27.98063,429.2026,399.4383,479.9762,0.8954025,4.718103,5.411096,3.891605,55.17339,0.09741175
59,2020-7-25 11,31.7015,313.0443,0.01731813,54.87684,3.278196,234.5729,0,0,886.0753,100.7831,183.9849,38.08437,436.5215,540.8806,649.9367,0.8498019,3.422487,5.472978,4.113163,69.80004,0.09739829
60,2020-7-25 12,32.91416,316.7536,0.01693978,49.81089,2.583381,241.8901,0,0,1185.416,100.7345,229.6897,46.59616,442.8524,664.2128,798.1352,0.7821481,2.900445,5.780503,4.500319,77.81034,0.09746291
61,2020-7-25 13,33.95885,319.4498,0.01639283,45.18821,1.983372,246.5387,0,0,1456.953,100.6613,254.6134,50.74435,447.8197,713.9801,857.937,0.9102853,3.264283,4.494169,3.532212,82.72072,0.10206096
62,2020-7-25 14,35.01076,321.7429,0.01606862,41.50557,2.211806,248.8759,0,0,1625.962,100.5791,294.7481,57.81254,450.1407,804.8326,967.1079,1.0449349,3.29649,5.266425,4.131197,87.87835,0.10605986
63,2020-7-25 15,35.78048,320.4308,0.01543774,38.03916,2.791036,254.8895,0,0,1745.249,100.5055,259.0183,49.76136,455.0957,640.0006,769.0421,1.0593465,3.283685,7.006598,5.54482,94.10113,0.1071279
64,2020-7-25 16,36.56384,322.099,0.01523206,35.77051,2.948568,244.7062,0,0,1836.973,100.4382,287.7437,55.619,453.0612,723.4925,869.3676,1.0474561,3.956863,5.917234,4.708339,92.69243,0.107241
65,2020-7-25 17,37.19389,321.1947,0.01473672,33.31754,3.020725,230.5719,0,0,1902.985,100.3847,247.3682,47.86198,455.525,583.2236,700.8168,1.332572,5.890689,5.288801,4.131339,89.56109,0.1131128
66,2020-7-25 18,37.27001,317.8001,0.01516096,34.11432,3.070979,242.4668,0,0,1894.018,100.3764,158.1239,30.48465,462.4567,307.4974,369.4965,2.581421,15.47317,6.304239,4.459774,61.07113,0.1257815
67,2020-7-25 19,36.97017,314.4162,0.01530596,35.08364,3.210308,235.3072,0,0.03919861,1770.442,100.4034,86.09664,17.21384,463.6903,118.1202,141.9358,2.257831,19.13054,6.746068,4.309487,28.46306,0.1276735
68,2020-7-25 20,34.80837,310.5063,0.01998479,52.2173,7.103376,179.491,0,0.1958586,520.055,100.4493,80.70438,8.053303,459.8498,32.56743,39.13391,1.1415591,14.58974,5.683908,3.547076,22.01231,0.1129058
69,2020-7-25 21,33.55459,308.6248,0.02006199,56.69294,6.396466,204.1011,0,0.23743486,755.5444,100.5124,56.74276,2.277746,457.4644,2.664033,3.20118,0.9288411,13.27161,5.1557,3.182468,15.04163,0.1093394
70,2020-7-25 22,32.19856,307.0305,0.01958759,60.0837,6.470804,212.1085,0,0.10371774,542.296,100.556,50.26435,1.406486,448.6041,0,0,0.8494983,11.91114,4.607171,2.807739,12.91237,0.1061039
71,2020-7-25 23,31.22681,305.9416,0.0190346,61.94935,5.874081,209.9092,0,0.1424736,414.6792,100.5724,43.21722,1.305391,445.3377,0,0,0.7564115,9.806753,4.244458,2.497686,14.44703,0.09937563
72,2020-7-26 0,30.66629,305.1321,0.01803912,60.77819,4.674202,217.2908,0,0.3425116,376.4233,100.5656,30.03387,1.267962,442.6213,0,0,0.719171,8.809571,6.068773,3.545901,18.5905,0.09531804
73,2020-7-26 1,30.13621,304.5098,0.01846757,64.25646,4.530853,216.1909,0,0.383703,347.3817,100.5547,27.15652,1.1227594,439.4733,0,0,0.5221605,6.914681,6.943546,3.95277,21.4142,0.08934475
74,2020-7-26 2,29.74966,304.0602,0.01910695,68.10548,4.245011,219.5501,0,0.511941,355.3016,100.5577,24.49622,0.9747409,440.1304,0,0,0.4104807,6.310659,7.048355,3.901629,20.9239,0.08592803
75,2020-7-26 3,29.43599,303.6369,0.01960035,71.21167,4.119659,215.4846,0,0.5559933,343.3413,100.5494,21.53334,0.8434993,437.9165,0,0,0.3141636,5.983286,7.235623,3.846153,17.24271,0.08364965
76,2020-7-26 4,29.24309,303.3248,0.02007655,73.81741,4.412625,214.8171,0,0.5781186,334.4384,100.5523,19.99728,0.7790924,439.4195,0,0,0.3001723,6.252565,5.548878,2.922966,13.91094,0.08382263
77,2020-7-26 5,29.00809,302.9805,0.02056441,76.72426,4.378342,214.3518,0,0.5521385,317.4178,100.5655,17.42802,0.6526082,437.216,0,0,0.4838202,7.617852,5.858262,3.068162,12.35268,0.08584378
78,2020-7-26 6,28.76683,302.6718,0.0208876,79.12736,3.960237,217.9137,0,0.5147241,302.4213,100.5935,14.62424,0.5329304,435.7796,0,0,1.0047607,9.943804,7.024764,3.868969,10.917825,0.09395943
79,2020-7-26 7,28.93054,303.729,0.02053199,77.03727,4.107161,220.2923,0,0.5448702,324.8664,100.6256,35.98795,6.7313745,431.1056,87.3278,104.9356,1.2534275,7.920775,7.105719,4.095548,15.51332,0.1004217
80,2020-7-26 8,29.93831,306.8882,0.01938348,68.50282,4.317386,221.5227,0,0.335336,482.0658,100.6394,91.01284,19.17695,430.5473,266.0738,319.7214,1.0417296,5.425266,6.884316,4.157095,25.7849,0.09992004
81,2020-7-26 9,30.23693,307.9535,0.01950666,67.5565,4.422764,222.9369,0,0.3493835,573.0516,100.643,111.4639,22.67729,436.7396,318.9251,383.2287,0.9175313,4.164795,7.637901,4.821647,41.90151,0.09758496
82,2020-7-26 10,31.22309,310.7101,0.01872007,61.31705,4.490692,223.5228,0,0.3180151,738.8942,100.6388,162.6381,32.27016,436.1474,452.7322,544.0152,0.7858061,3.032633,7.211056,4.81265,57.83059,0.09603238
83,2020-7-26 11,32.55189,314.6753,0.01797207,54.24569,4.084909,225.1021,0,0.12155695,1099.082,100.6196,227.4915,44.27339,435.6105,628.4498,755.1618,0.6795364,2.234624,6.584708,4.537721,68.03256,0.09447513
84,2020-7-26 12,33.76526,318.0626,0.01711513,47.96037,3.796835,220.8868,0,0.09804856,1374.301,100.5643,281.8912,53.66197,441.5988,750.8987,902.2993,0.6621408,1.994633,6.012273,4.194159,72.56286,0.09503103
85,2020-7-26 13,34.73866,320.0243,0.01668741,44.02603,3.811442,204.2699,0,0.08480234,1592.847,100.4935,311.8113,58.35919,455.7871,792.9622,952.8454,0.6490519,2.048287,6.526367,4.544668,76.01977,0.09652695
86,2020-7-26 14,35.62662,321.646,0.01616206,40.28278,4.13223,199.4974,0,0.11484989,1801.127,100.416,346.4377,62.91175,452.3154,844.718,1015.037,0.5656359,2.668074,6.627265,4.853535,79.40524,0.10074434
87,2020-7-26 15,36.20342,322.2201,0.01679331,40.35359,4.020453,201.3458,0.387315,0.0920255,1949.429,100.3426,341.5341,63.15682,458.3461,818.5181,983.5523,0.2879722,2.710341,4.975046,3.524842,68.48497,0.09528754
88,2020-7-26 16,36.34043,321.0515,0.01731425,41.14177,4.813372,196.1243,0.014535343,0.09450222,1838.02,100.2662,330.3197,55.47892,462.1518,702.3676,843.9831,0.3520877,4.088686,5.457037,3.663918,60.87444,0.09703828
89,2020-7-26 17,36.07488,317.3947,0.01772679,42.78789,4.743797,206.2327,1.0414471,0.6147541,1750.977,100.2607,224.7225,45.96269,484.0525,355.9646,427.7364,0.9208361,7.152962,5.418345,3.323227,42.33895,0.10253498
90,2020-7-26 18,35.80001,316.0871,0.01778987,43.67565,4.796857,201.0436,2.3753677,0.1122498,1555.825,100.275,193.0742,37.84613,464.5066,344.2372,413.6448,1.1001979,9.988352,6.263367,3.611846,25.4315,0.1042875
91,2020-7-26 19,35.55718,313.4722,0.01782893,44.46441,6.018025,194.7227,0.4108235,0.240135,1660.256,100.3233,144.1468,29.4207,462.7465,203.3372,244.3355,1.1866,11.91583,6.760004,3.829173,13.35467,0.1049213
92,2020-7-26 20,34.19508,310.1442,0.01827748,49.53255,6.633546,200.6483,0,0.07647057,1107.0023,100.3611,87.67936,14.33695,456.8386,52.48555,63.06792,1.560555,13.24416,7.027923,3.974315,8.093411,0.1083516
93,2020-7-26 21,32.87623,308.0232,0.01869228,54.92955,6.239093,202.8276,0,0.0809532,872.3151,100.437,58.29948,5.514334,449.9102,5.09838,6.12636,1.595329,14.27462,7.380201,4.157336,6.424047,0.1113729
94,2020-7-26 22,31.88568,306.7754,0.01901044,59.35799,5.576887,199.4597,0,0.1377086,752.2423,100.4797,46.27932,2.533213,445.5836,0,0,1.451662,12.71227,7.893638,4.339093,7.610854,0.1074182
95,2020-7-26 23,31.04,305.7595,0.01849436,60.81886,5.185918,209.8489,0,0.09397171,646.0438,100.4958,39.21775,1.613101,438.5835,0,0,1.562826,12.2604,7.755342,4.233494,8.32999,0.1046681
96,2020-7-27 0,29.9568,304.353,0.0195119,68.57919,4.507083,205.0134,0,0.1824214,540.9386,100.4671,27.81594,0.9352086,431.0598,0,0,1.905506,14.09587,8.018354,4.466325,5.118451,0.1092691
97,2020-7-27 1,29.6755,303.9273,0.01973728,70.57188,3.884793,208.5721,0,0.11369021,567.7062,100.4563,21.76322,0.7896081,428.7406,0,0,1.52589,12.42881,6.627755,3.613495,7.398644,0.10357777
98,2020-7-27 2,29.33401,303.4575,0.01985114,72.48022,4.125957,207.7199,0,0.11394181,495.9794,100.4381,20.03508,0.7376526,428.348,0,0,1.1738502,10.54806,6.938975,3.702573,9.432485,0.09660009
99,2020-7-27 3,29.12446,303.0952,0.0198281,73.33299,3.909499,205.2309,0,0.06704206,489.0584,100.4341,15.98065,0.6690824,426.4188,0,0,1.2723531,11.367111,7.223374,3.801549,9.099458,0.09601661
100,2020-7-27 4,29.00685,302.9005,0.01977653,73.67441,3.71379,200.9699,0,0.12107199,493.0811,100.4391,14.168738,0.6828712,431.6519,0,0,1.3974354,12.24319,7.338729,3.809946,9.012481,0.09630747
101,2020-7-27 5,28.89603,302.5499,0.01975216,74.109,3.636124,195.555,0,0.688983,399.4295,100.4588,8.988651,0.578108,423.7453,0,0,1.353045,12.3097,7.503796,3.883159,9.758298,0.09550684
102,2020-7-27 6,28.9681,302.9138,0.02010779,75.15652,3.426697,198.8487,0,0.7734916,487.0247,100.5038,13.91512,0.7547274,450.7815,0,0,1.106174,10.97834,8.809329,4.654761,12.35643,0.09654344
103,2020-7-27 7,29.14051,304.0497,0.02054841,76.02678,3.846132,207.7234,0,0.941986,603.1745,100.547,36.38601,7.0301836,453.6703,82.6469,99.3111,0.8194487,7.493106,9.97215,5.498625,17.02841,0.10233364
104,2020-7-27 8,29.71794,306.8422,0.02043537,73.02151,3.972674,209.0883,0.001899291,0.1068484,674.4561,100.5778,91.1303,17.755818,429.659,267.1316,320.9931,0.5648851,5.010627,9.213653,5.014481,24.66852,0.09797218
105,2020-7-27 9,29.98407,307.8499,0.02033583,71.44444,4.282514,210.6462,0,0.1039768,743.655,100.5859,113.3735,21.76479,430.9295,327.2711,393.2583,0.3994574,4.206976,8.233198,4.717894,35.72808,0.09545425
106,2020-7-27 10,30.79754,310.6681,0.0199649,66.78475,4.096986,212.0189,0.04869326,0.1899305,918.0565,100.5859,163.7462,31.89456,434.1852,462.8611,556.1861,0.20799321,3.233648,5.370484,3.053897,44.53331,0.09164982
107,2020-7-27 11,31.71315,313.8953,0.01948192,61.53286,4.354271,231.4072,0.817586,0.3836249,925.064,100.5415,237.1073,44.83901,442.7519,613.9777,737.7713,0.17494999,3.165545,4.254379,2.63566,51.74795,0.09453292
108,2020-7-27 12,31.04886,313.6127,0.01921989,63.32666,4.985988,208.6799,2.127391,0.56090554,799.4621,100.5052,269.216,46.52534,465.7257,592.3268,711.7553,0.3083461,3.33155,3.671115,2.328171,53.691,0.09256077
109,2020-7-27 13,32.69922,317.9481,0.01879415,55.96758,2.880108,247.8804,4.075876,0.3965867,1247.309,100.4798,276.8672,55.89423,449.6925,754.7362,906.9105,0.7173127,5.017304,4.504332,2.922267,49.93151,0.09749375
110,2020-7-27 14,34.31193,318.3435,0.01756893,47.3074,5.84994,206.4615,0.935578,0.11984593,1627.205,100.4296,346.1047,64.83182,460.038,759.0134,912.0502,0.9121674,4.988164,5.128153,3.119623,46.38942,0.09757663
111,2020-7-27 15,32.87434,318.1508,0.01701518,50.4713,3.467778,170.9974,9.14816,0.197428,1011.9105,100.4081,295.6996,58.40087,453.0149,705.8507,848.1686,0.7422758,6.106246,5.557995,3.234231,41.97334,0.09958845
112,2020-7-27 16,34.81738,317.7727,0.01715633,44.85969,4.629242,191.0793,0.1130332,0.1212239,1691.871,100.338,270.8328,50.20923,458.7009,569.5195,684.35,0.6375195,7.862823,5.323062,2.949857,36.99287,0.10139472
113,2020-7-27 17,34.3465,315.7212,0.01709542,46.00042,4.959004,197.3058,1.266153,0.12960863,1359.716,100.3369,233.7168,44.51972,456.1951,452.2749,543.4656,0.9668001,8.642775,4.455259,2.476612,31.22497,0.09722749
114,2020-7-27 18,34.55383,312.5389,0.01662193,44.05387,6.159399,200.7747,0.4214567,0.705331,1623.32,100.3658,152.5512,30.07898,471.6777,201.1438,241.6995,1.1084137,11.01621,4.662991,2.571252,22.83682,0.09941928
115,2020-7-27 19,33.77991,310.8127,0.01696681,47.14809,5.663702,210.4145,0,0.2987746,1284.432,100.4144,112.60374,21.20034,456.2512,134.2698,161.342,1.3230276,15.12191,6.072801,3.286786,12.899146,0.1071272
116,2020-7-27 20,32.99354,308.6954,0.01697754,49.48907,5.170475,208.3502,0,0.2224791,1111.243,100.4619,67.05001,10.004178,448.9843,44.77426,53.80203,1.55941,16.35797,7.027563,3.747513,8.65855,0.1115067
117,2020-7-27 21,31.87601,306.8089,0.01718304,53.65089,5.752309,206.7214,0.00391074,0.1765119,763.263,100.5198,48.73473,3.083179,445.1354,4.51761,5.4285,2.137208,18.4663,8.515457,4.440085,5.554002,0.1165781
118,2020-7-27 22,31.37629,305.8592,0.01699037,54.78158,5.444027,200.235,0,0.18145938,768.1369,100.5736,34.59264,1.900886,438.7046,0,0,2.692928,19.73159,9.387956,4.710583,4.075966,0.1184142
119,2020-7-27 23,30.63768,304.9284,0.01765374,59.57357,5.276947,202.5295,0,0.1889882,625.8337,100.584,28.63728,1.583492,430.9218,0,0,3.205673,19.40594,9.272674,4.559819,4.637117,0.1154736
120,2020-7-28 0,29.73773,303.6857,0.01887031,67.31345,4.564141,193.7489,0,0.14054058,549.1864,100.57,17.45172,1.0254839,424.6723,0,0,2.982012,17.55848,7.57267,3.872723,6.711496,0.1096496
121,2020-7-28 1,29.49454,303.3072,0.01935973,70.09357,4.295545,193.2582,0,0.09715258,545.4756,100.5699,13.65024,0.8600843,423.9124,0,0,2.367389,15.7044,9.102,4.488267,8.456316,0.10208338
122,2020-7-28 2,29.33436,303.017,0.01985229,72.60676,3.861577,195.6613,0,0.07227702,514.5793,100.591,9.997536,0.7041137,424.0193,0,0,2.112434,15.40962,8.529023,4.232296,8.908528,0.1008539
