,place,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
11,A,2020-7-23 11,32.438,316.151,0.0140606,42.5884,2.51137,181.629,0,0.0538522,1303.47,100.818,225.436,51.2019,430.24,672.881,808.552,3.87419,15.3255,9.26369,6.69974,73.8188,0.135756
12,A,2020-7-23 12,33.4394,319.068,0.013464,38.3485,2.67241,167.47,0,0.0312602,1426.81,100.783,281.85,60.2734,432.982,787.407,946.169,3.23262,13.1809,8.74399,6.58254,98.1642,0.133963
13,A,2020-7-23 13,34.3071,321.194,0.0134111,36.2115,2.88441,156.066,0,0.0243073,1582.49,100.727,325.039,66.0644,435.459,858.979,1032.17,3.52231,14.1279,9.0113,7.19106,112.163,0.141049
14,A,2020-7-23 14,35.1774,322.591,0.0134303,34.3704,2.92156,158.181,0,0.0130307,1787.29,100.653,341.959,67.79,434.1,875.991,1052.61,3.03396,19.5257,9.84077,7.76907,104.804,0.150717
15,A,2020-7-23 15,35.9684,322.863,0.0145415,35.449,3.36857,175.976,0,0,2060.29,100.588,345.197,65.3523,443.455,825.016,991.361,2.83198,23.3817,8.58074,6.51943,84.9993,0.145888
16,A,2020-7-23 16,35.2977,315.553,0.0169377,42.9874,6.39518,132.955,0,1,1594.96,100.556,229.605,30.3172,481.896,232.368,279.22,3.563,18.4342,6.01044,4.56804,78.8638,0.130098
17,A,2020-7-23 17,35.743,314.451,0.0165536,40.8821,4.53507,170.269,0,0,1899.93,100.528,140.759,21.9343,484.802,139.321,167.412,4.25521,20.2101,5.63015,4.10742,66.7487,0.133159
18,A,2020-7-23 18,35.5665,316.091,0.0171226,42.7468,5.51344,182.653,0,0,1798.98,100.538,217.178,38.2718,453.007,395.335,475.045,4.50282,26.8467,5.75754,3.83567,37.9247,0.137024
19,A,2020-7-23 19,34.5585,312.731,0.0179738,47.7215,6.06522,187.258,0,0.219314,1499.17,100.579,152.382,24.3512,452.111,200.851,241.347,4.16682,30.1976,5.98406,3.74356,13.8135,0.137334
20,A,2020-7-23 20,33.42,309.25,0.0176953,50.3778,6.01965,191.671,0,0.0622471,1188.45,100.628,77.4689,7.80766,446.168,23.4299,28.154,4.57837,28.2586,6.08211,3.72439,5.47627,0.138052
21,A,2020-7-23 21,32.2212,307.298,0.0176164,53.9901,5.82472,193.284,0,0.137627,811.549,100.675,53.327,1.92111,436.141,0,0,4.75995,25.1561,6.11349,3.68543,3.71936,0.132526
22,A,2020-7-23 22,31.2484,306.066,0.0180116,58.6106,5.53204,192.61,0,0.141173,652.258,100.702,44.079,1.66129,432.954,0,0,4.75656,22.5828,5.53998,3.34748,4.7134,0.123612
23,A,2020-7-23 23,30.5779,305.159,0.0174297,59.1071,4.88413,191.837,0,0.146696,583.546,100.706,34.0902,1.51686,426.418,0,0,4.27933,20.0769,5.10054,3.04691,6.21709,0.114762
24,A,2020-7-24 0,29.8519,304.0013,0.01805026,64.01877,4.043989,199.3519,0,0.0442662,576.9951,100.7154,20.20132,1.070408,422.6888,0,0,3.169899,21.08095,5.319408,3.174649,4.754189,0.119331
25,A,2020-7-24 1,29.52671,303.5519,0.01885597,68.21582,3.932205,198.4807,0,0.02218917,549.2684,100.7151,17.28101,0.8884161,422.9117,0,0,2.259686,19.50119,5.396713,3.137726,6.081626,0.11206709
26,A,2020-7-24 2,29.26553,303.16,0.01923397,70.71968,3.847132,195.1693,0,0.03129138,464.691,100.7174,14.28971,0.7740853,422.2896,0,0,2.16008,19.63252,6.064476,3.45276,5.693077,0.11185181
27,A,2020-7-24 3,29.0412,302.8408,0.01952371,72.79446,3.458092,196.9158,0,0.04259573,405.2571,100.7207,11.475992,0.6565536,422.5124,0,0,1.997971,21.10539,6.985089,3.897656,4.540909,0.11715
28,A,2020-7-24 4,28.89384,302.6147,0.01960623,73.78363,3.039799,206.0625,0,0.1424977,349.3761,100.7328,9.14444,0.5924226,424.2169,0,0,2.239094,23.77012,8.23871,4.509736,2.358043,0.1336937
29,A,2020-7-24 5,28.78835,302.4253,0.01948902,73.82518,2.583022,211.0711,0,0.41903664,274.9343,100.7567,6.74362,0.5492838,426.0356,0,0,3.310451,27.21654,13.12976,7.054857,0.35429127,0.1706884
30,A,2020-7-24 6,28.3373,302.0161,0.01983528,77.30069,1.994536,246.1033,0,0.4451403,208.3607,100.7865,6.988073,0.4165848,427.2507,0,0,2.715101,25.66282,16.97063,9.377878,1.719941,0.178769
31,A,2020-7-24 7,28.65356,303.8432,0.01984293,75.8728,2.010673,259.1544,0,0.8106756,388.6274,100.8167,27.79274,6.2295335,437.4098,92.1501,110.7302,1.800815,20.19468,10.443289,5.948631,6.995734,0.1562937
32,A,2020-7-24 8,29.28462,306.9868,0.01943597,71.52206,2.492002,242.4873,0.1437255,0.8545798,518.1324,100.8365,80.24833,18.04231,431.768,266.6189,320.3763,2.09326,16.77172,9.132202,5.378697,13.19827,0.1509053
33,A,2020-7-24 9,29.33154,307.7587,0.01928273,70.73549,2.458642,236.9811,0.455187,0.8186932,534.3156,100.8488,95.72617,21.75736,437.4839,315.9539,379.6584,2.526725,15.70706,10.994622,7.021012,24.07423,0.1508133
34,A,2020-7-24 10,30.09881,310.5762,0.0189734,66.49279,2.560114,228.1513,0.455187,0.6699299,714.651,100.8579,144.67878,30.49483,440.0424,445.2698,535.0479,2.636081,15.12005,12.28645,8.427401,43.18287,0.148677
35,A,2020-7-24 11,31.33191,314.4946,0.01865074,60.5274,2.799651,231.57,0,0.2665054,993.908,100.8355,219.5186,42.81108,436.8555,627.2475,753.7176,2.462099,13.34007,12.65714,9.163215,67.72214,0.1473011
36,A,2020-7-24 12,32.48625,317.6218,0.0180742,54.63547,3.154418,227.9734,0,0.00847938,1157.4712,100.7873,285.1661,52.43548,439.8387,757.9808,910.8097,2.259336,12.33514,12.80717,9.544015,89.22459,0.1452484
37,A,2020-7-24 13,33.634,320.1228,0.01738816,48.98318,3.284841,224.7283,0,0.00487407,1404.473,100.7159,329.067,59.77353,442.4824,841.3663,1011.0086,1.981974,12.96037,12.61189,9.789122,103.35828,0.1448476
38,A,2020-7-24 14,34.75223,321.9962,0.01677533,44.09944,3.224534,223.2496,0,0.00595026,1626.941,100.6377,348.5517,63.38872,443.9592,871.4715,1047.187,1.948974,15.49486,10.603336,8.257204,102.59257,0.1433568
39,A,2020-7-24 15,35.74193,321.9458,0.01640115,40.48894,2.978362,225.1096,0,0.238,1689.575,100.5568,308.8532,55.7969,471.6618,706.2028,848.5922,1.878378,19.40701,9.328911,7.169578,95.10471,0.1423675
40,A,2020-7-24 16,36.34623,318.0183,0.01590909,37.8478,3.074177,213.166,0,0.7,1854.605,100.4857,193.7794,36.56597,475.4983,391.8215,470.8227,1.677056,21.36624,8.353927,6.281779,89.27752,0.1458241
41,A,2020-7-24 17,36.74569,317.3155,0.01607679,37.3327,2.990136,219.3775,0,0.6324668,1886.105,100.4431,164.3424,32.95479,479.6714,337.2823,405.2876,2.243184,24.53611,8.025407,5.834415,70.39298,0.1473343
42,A,2020-7-24 18,36.68656,316.4941,0.01683361,39.26003,3.793318,217.7446,0,0.6823103,1888.969,100.4281,150.3864,30.07496,481.8849,285.3377,342.8694,3.504524,27.35878,6.551126,4.284096,33.68158,0.1357886
43,A,2020-7-24 19,35.48643,313.6437,0.0168746,42.27597,6.135802,169.7019,0,0.2204726,978.7696,100.4578,147.8949,26.89473,457.5917,223.8019,268.9272,4.068352,27.94772,6.180932,3.868081,15.11528,0.1324085
44,A,2020-7-24 20,34.19265,309.9756,0.01667775,45.22468,6.21193,194.5612,0.0444924,0.4172003,870.4628,100.5087,76.17274,9.739953,459.3315,24.06523,28.9174,4.645459,27.18933,6.485247,3.990483,7.560753,0.1343747
45,A,2020-7-24 21,32.57531,307.6901,0.01664834,50.10963,6.191285,191.262,0,0.15498962,624.1994,100.5784,56.98577,3.786033,444.1508,4.71753,5.66871,4.668059,27.03308,6.638062,4.071745,5.643246,0.1338527
46,A,2020-7-24 22,31.57645,306.3576,0.01638275,52.39293,5.855463,192.4828,0,0.10485794,485.0025,100.6108,45.04775,1.84618,439.3504,0,0,4.120185,26.43621,6.294498,4.010161,5.479689,0.1317544
47,A,2020-7-24 23,30.93607,305.4684,0.01610739,53.50314,5.487017,194.6382,0,0.10568339,447.4014,100.6116,35.91085,1.726619,434.5239,0,0,3.44263,25.90043,5.710715,3.775496,4.912403,0.1327872
48,A,2020-7-25 0,30.28888,304.5302,0.0168938,58.24604,4.688928,205.4184,0,0.09043462,398.9229,100.5906,24.74735,1.357521,432.3847,0,0,2.644118,25.07831,5.490792,3.632893,6.624008,0.1293816
49,A,2020-7-25 1,29.9856,304.1427,0.01695525,59.56666,3.833398,210.4841,0,0.1065824,407.4222,100.5981,19.31527,1.215357,431.3465,0,0,3.054425,26.88576,5.817316,3.724868,3.362975,0.1371241
50,A,2020-7-25 2,29.70199,303.7009,0.01741555,62.26271,3.510985,216.7064,0,0.06675886,445.8466,100.6033,15.03762,1.043806,426.652,0,0,3.112786,25.07879,5.99906,3.78438,1.898551,0.13743
51,A,2020-7-25 3,29.34049,303.2541,0.01844719,67.46408,3.68899,220.8848,0,0.08450748,426.2426,100.6104,14.19015,0.8769095,427.1872,0,0,1.87221,18.31818,5.485245,3.37432,3.487278,0.1189468
52,A,2020-7-25 4,28.92441,302.805,0.01987658,74.59379,4.116556,227.3429,0,0.10586821,421.0629,100.6261,14.78098,0.6634351,428.0575,0,0,1.403982,16.50348,5.015817,2.945593,4.233698,0.1120103
53,A,2020-7-25 5,28.69296,302.4454,0.02009431,76.5293,4.340185,228.1003,0,0.1116101,384.6277,100.649,12.53803,0.5982956,426.8608,0,0,1.641892,19.17679,6.140156,3.527362,3.5258,0.1181488
54,A,2020-7-25 6,28.55429,302.1756,0.01919795,73.76055,4.180487,231.4647,0,0.06723577,340.444,100.6745,9.389616,0.6840959,425.4434,0,0,2.120973,23.06282,8.764677,5.08642,2.637355,0.1414866
55,A,2020-7-25 7,28.64354,302.8713,0.01890112,72.20022,4.375741,232.9248,0,0.05691862,355.6161,100.6968,23.708894,5.5952253,425.0411,59.74059,71.7857,2.700337,22.07708,8.89915,5.266632,5.954504,0.1555223
56,A,2020-7-25 8,29.21899,305.2204,0.01873718,69.05873,4.365122,238.7176,0,0.01114554,452.631,100.7152,66.39311,14.88331,426.9731,195.9544,235.4642,2.47753,19.59129,7.428144,4.422081,12.65133,0.1475085
57,A,2020-7-25 9,29.44546,306.2869,0.01875023,68.18324,4.337375,237.6163,0,0.01747911,463.4889,100.7194,87.19328,18.6784,426.9251,257.953,309.9632,2.092773,17.31891,6.691674,4.336371,23.91788,0.1391248
58,A,2020-7-25 10,30.28987,308.6298,0.01816748,62.73052,3.960033,241.6861,0,0.01747911,595.3934,100.7299,120.0538,25.64116,431.704,354.6706,426.1821,1.671473,15.61251,6.434242,4.564547,47.19697,0.1305221
59,A,2020-7-25 11,31.65525,313.2216,0.01733953,55.0602,3.663588,244.9045,0,0,850.224,100.7141,200.012,41.02985,434.916,581.1915,698.3755,1.624595,13.79605,7.406437,5.542235,71.89018,0.130011
60,A,2020-7-25 12,32.95425,317.3436,0.01670733,48.98212,2.918588,247.7512,0,0,1221.792,100.6618,255.0856,51.12026,439.5267,725.568,871.8617,1.646294,12.70889,8.625208,6.605277,87.4992,0.1307437
61,A,2020-7-25 13,34.01213,320.2995,0.01656626,45.48817,2.256578,243.9936,0,0,1535.731,100.5896,284.5744,56.35644,446.2493,796.8095,957.4672,1.64789,13.70312,9.310726,7.173018,91.32187,0.131066
62,A,2020-7-25 14,35.07779,322.1613,0.01567611,40.34043,2.739385,222.0012,0,0,1639.249,100.5096,323.7728,61.71822,446.587,846.8133,1017.556,1.814716,14.529,9.291057,7.180799,98.33495,0.1371037
63,A,2020-7-25 15,35.9973,321.3559,0.01478032,35.96197,3.297994,223.6938,0,0.0160531,1751.029,100.4315,295.3282,55.08902,452.7884,698.4137,839.2331,1.921923,15.01469,8.791479,6.80448,103.16458,0.1406568
64,A,2020-7-25 16,36.6421,322.1418,0.01485747,34.70387,3.560241,231.2678,0,0,1820.764,100.3636,308.4598,58.34457,449.1781,744.2584,894.3208,1.966095,16.62912,8.734651,6.798615,100.72889,0.141699
65,A,2020-7-25 17,37.13925,321.1679,0.01484179,33.6132,3.570327,227.1435,0,0,1859.404,100.3131,266.5579,50.18506,452.4151,604.8315,726.7822,2.396111,22.44032,10.277946,7.866167,91.66405,0.1530661
66,A,2020-7-25 18,37.39265,318.8776,0.01478451,32.97659,3.479702,228.7281,0,0.04302848,1912.828,100.306,193.1402,37.49892,457.0944,401.1041,481.9772,2.795119,26.99667,8.83527,5.894893,43.40949,0.1367475
67,A,2020-7-25 19,36.99265,315.492,0.01603702,36.65224,4.535072,210.4107,0,0.11836698,1782.56,100.3259,131.5035,24.63207,463.1588,201.3924,241.9984,2.454724,25.20928,7.802204,4.765057,15.07161,0.1290098
68,A,2020-7-25 20,34.72844,311.0713,0.01919975,50.39399,6.79609,198.9872,0.01215072,0.25386526,755.358,100.3763,99.74334,10.784812,461.9116,56.72614,68.16345,2.423094,24.03102,8.1053,4.875796,7.409264,0.1321064
69,A,2020-7-25 21,33.34729,308.6718,0.01977228,56.45404,6.908174,200.1429,0,0.12971779,562.555,100.4409,69.10237,2.971094,456.6194,5.02884,6.04278,2.637577,24.27226,8.715624,5.271125,5.306441,0.1362729
70,A,2020-7-25 22,32.32813,307.3008,0.01979686,60.16708,6.460383,201.6387,0,0.11703106,524.5827,100.4802,54.65423,1.498602,452.7535,0,0,2.775524,23.27649,8.224298,5.036275,4.451614,0.1385346
71,A,2020-7-25 23,31.59074,306.4013,0.01969779,62.63508,5.567373,201.4869,0,0.1878323,539.091,100.5022,44.09849,1.318969,448.7368,0,0,2.647897,21.93499,7.142085,4.42492,4.449321,0.1365313
72,A,2020-7-26 0,31.26115,305.7766,0.01802358,58.4986,4.084705,209.767,0,0.4499163,494.0416,100.4911,28.2462,1.356247,448.4179,0,0,2.822181,26.41401,6.671223,4.291043,5.936507,0.1411775
73,A,2020-7-26 1,30.94336,305.3261,0.01806217,59.78517,3.784715,216.7552,0,0.4594723,533.6586,100.4824,23.93541,1.266468,445.8506,0,0,3.024112,24.84184,5.991263,3.620734,5.673567,0.1317135
74,A,2020-7-26 2,30.59006,304.8622,0.01806162,61.09779,3.873039,218.2328,0,0.4973897,525.6875,100.4771,21.96574,1.2341204,445.1665,0,0,2.255966,20.3341,5.54381,3.234662,6.164497,0.1184569
75,A,2020-7-26 3,30.2014,304.3679,0.01879734,65.10051,4.010072,215.2804,0,0.5325646,523.8903,100.4773,20.23632,1.0908618,442.2014,0,0,1.884811,18.73519,5.356591,3.111353,6.111354,0.1139268
76,A,2020-7-26 4,29.87351,303.9358,0.01940876,68.59057,4.374434,215.9103,0,0.5541497,505.3732,100.4828,19.40062,0.9934078,441.7378,0,0,1.767293,18.20312,6.019597,3.475478,5.542012,0.1132837
77,A,2020-7-26 5,29.58771,303.5737,0.01991056,71.61426,4.250172,213.6752,0,0.5671992,508.4583,100.4965,17.31114,0.8680232,440.962,0,0,1.78775,19.06647,7.526732,4.335534,3.08763,0.1204389
78,A,2020-7-26 6,29.32873,303.2073,0.02037698,74.49015,4.095181,215.945,0,0.6417028,512.0536,100.5272,14.58849,0.7234764,437.8334,0,0,1.968036,20.2264,10.436813,5.994286,2.937021,0.1393197
79,A,2020-7-26 7,29.40145,304.1444,0.02052258,74.69766,4.274537,220.2017,0,0.6216018,518.9488,100.5532,36.360209,6.9757945,437.5726,81.5234,97.9608,2.691777,17.98166,10.74093,6.225077,7.002643,0.1572547
80,A,2020-7-26 8,30.10375,306.9145,0.01924629,67.22527,4.508285,222.2254,0,0.4550415,581.5268,100.5704,92.08214,19.525634,432.7655,258.9578,311.1712,2.597326,14.34927,10.043299,5.953323,16.1492,0.1469461
81,A,2020-7-26 9,30.3346,307.72,0.01944783,66.90427,4.832339,224.1652,0,0.4550415,643.6556,100.5719,108.96668,22.22186,442.9082,293.8073,353.0473,2.286513,12.75068,9.27972,5.722906,32.23395,0.1345873
82,A,2020-7-26 10,31.19217,310.3576,0.01836843,60.22893,4.841719,222.593,0,0.2846538,757.9831,100.5705,162.14008,32.20071,441.1673,430.8757,517.7517,2.017115,11.15191,9.002512,5.893566,53.18073,0.1251854
83,A,2020-7-26 11,32.28299,313.5621,0.0177596,54.58245,4.588468,224.9655,0,0.13408933,1005.4517,100.5545,216.5135,41.59447,444.2654,562.1957,675.5495,1.801986,9.398962,8.892796,6.05522,72.56054,0.1221333
84,A,2020-7-26 12,33.56832,317.4949,0.01668596,47.2667,4.290359,223.7845,0,0.08563378,1298.461,100.4981,286.1518,54.37366,439.2535,747.2434,897.9082,1.672488,8.914233,8.58955,6.044085,83.2507,0.122043
85,A,2020-7-26 13,34.66257,319.7441,0.01561045,41.35295,4.070249,223.3363,0,0.09139606,1545.213,100.4297,313.5517,59.23731,445.4167,791.5263,951.1155,1.698089,9.645207,8.071286,5.765113,86.35673,0.1216489
86,A,2020-7-26 14,35.644,321.1741,0.0151571,37.7499,4.523782,227.3151,0,0.08894049,1741.321,100.3491,345.3396,62.99299,450.4313,818.4046,983.4162,1.419451,9.993291,7.477819,5.412476,84.55808,0.1213151
87,A,2020-7-26 15,36.28693,321.8549,0.01590116,38.02406,4.666617,221.5141,0.0732585,0.11515317,1876.676,100.276,352.4463,63.74045,456.5211,799.4875,960.6839,0.8950691,10.8781,6.019687,4.386202,69.79724,0.1153701
88,A,2020-7-26 16,36.36096,320.0596,0.01736444,41.16806,5.425491,189.5602,0.1732146,0.13118608,1880.056,100.2016,315.6943,51.69807,479.4431,600.0652,721.0544,0.6781181,12.17028,5.029902,3.339777,52.03185,0.1130264
89,A,2020-7-26 17,36.08083,319.4739,0.01759152,42.4242,5.021898,197.316,1.0505617,0.1768231,1665.607,100.1818,295.4201,54.86002,460.9621,593.5067,713.1732,1.654746,12.96137,5.539483,3.247078,34.1286,0.1086815
90,A,2020-7-26 18,35.57188,316.2967,0.01796308,44.70197,5.043512,210.8723,2.2577532,0.5292626,1593.494,100.2449,211.3944,42.37095,462.1163,366.9278,440.9103,2.457052,14.76855,6.660627,3.698659,20.27388,0.1085076
91,A,2020-7-26 19,35.07034,313.1535,0.01847685,47.45964,6.606391,191.7513,0.7697504,0.1067561,1403.737,100.2539,157.5143,29.833,460.5881,205.7763,247.267,2.129388,15.33565,7.24515,4.00969,10.372637,0.1089239
92,A,2020-7-26 20,33.7215,309.7172,0.01886406,52.64863,7.242421,191.1814,0,0.07740096,960.6367,100.3026,94.68873,13.41791,455.0478,48.45814,58.22872,2.167168,15.15943,8.075156,4.433301,5.869887,0.1111972
93,A,2020-7-26 21,32.52552,307.7538,0.01957379,58.81678,6.635633,194.1142,0,0.07455449,791.1421,100.3785,63.68634,4.16689,449.261,4.42269,5.31444,2.096774,14.83786,8.702263,4.765135,5.218451,0.1099344
94,A,2020-7-26 22,31.54195,306.4526,0.02009823,64.08409,6.484736,196.2049,0,0.06560154,682.3725,100.4153,52.76471,1.698754,444.7283,0,0,1.984579,13.39776,8.471369,4.614878,7.540213,0.1044385
95,A,2020-7-26 23,30.9628,305.623,0.01968949,65.015,6.226028,198.6206,0,0.06985613,630.6143,100.4246,43.5125,1.351354,440.6037,0,0,1.944441,12.19935,8.295745,4.467869,8.605064,0.1008661
96,A,2020-7-27 0,30.02227,304.2682,0.01915174,67.00328,5.635805,197.6862,0,0.06034374,528.147,100.4095,28.86017,1.103366,429.1542,0,0,1.850322,12.11845,7.274797,4.003882,6.806837,0.10096146
97,A,2020-7-27 1,29.76557,303.857,0.01895149,67.32759,5.350917,200.5331,0,0.05622544,491.2984,100.3863,23.68474,1.065771,429.0684,0,0,1.2490378,10.81387,6.408536,3.514466,8.34574,0.09628887
98,A,2020-7-27 2,29.53162,303.4839,0.01895667,68.28875,4.89914,201.6048,0,0.04438099,456.7448,100.365,18.71738,0.9661564,426.9066,0,0,1.150945,11.38704,6.538461,3.646213,8.327268,0.0969055
99,A,2020-7-27 3,29.30161,303.1211,0.01887594,68.96712,4.361937,201.4356,0,0.07924942,423.1374,100.3629,14.26124,0.864805,423.9093,0,0,1.147247,12.68234,6.97245,3.884595,7.684824,0.09942376
100,A,2020-7-27 4,29.10615,302.8903,0.01895044,70.08206,3.917031,200.9475,0,0.33124436,375.4138,100.3699,12.489975,0.8294009,428.9546,0,0,1.27976,14.34655,7.554192,4.140258,6.444907,0.10261724
101,A,2020-7-27 5,28.89935,302.5324,0.01923192,72.05292,3.651657,200.7072,0,0.2123049,318.8687,100.3937,8.841608,0.6683924,422.6282,0,0,1.4510844,17.24473,9.983904,5.447787,4.337305,0.1113788
102,A,2020-7-27 6,28.73578,302.3098,0.01970964,74.6545,3.155818,198.3994,0,0.5489226,271.0803,100.4365,6.846556,0.5395751,423.7253,0,0,1.399139,18.16338,12.28358,6.801938,5.179843,0.1232937
103,A,2020-7-27 7,29.11228,303.9539,0.02008625,74.39433,3.639251,206.7247,0,0.7257325,475.0218,100.4786,33.289539,7.7148248,436.8793,97.6843,117.3802,1.121826,13.51782,11.00411,6.161047,11.68907,0.122918
104,A,2020-7-27 8,29.83815,306.7614,0.02022751,71.66383,3.780112,213.2874,0,0.4030573,722.0553,100.5079,82.01916,17.305189,451.4771,234.8187,282.1648,1.412571,12.71614,10.481208,5.977999,16.29518,0.1322258
105,A,2020-7-27 9,30.08649,307.7922,0.02008405,70.06855,3.945763,214.8024,0.02060238,0.4898563,779.6559,100.5154,103.75575,21.70516,453.0611,295.1751,354.6907,1.511542,13.86145,9.880908,5.875832,22.14504,0.1332915
106,A,2020-7-27 10,30.82408,310.735,0.01987657,66.27721,3.964215,219.827,0.04153161,0.4606929,946.6094,100.5147,161.8848,32.19921,445.2232,456.7869,548.8868,1.675532,16.39799,7.484781,4.583291,29.85281,0.1390285
107,A,2020-7-27 11,31.66775,313.7106,0.01948657,61.6902,3.484575,228.0752,3.5199136,0.7882426,993.7622,100.4997,207.1793,46.25969,442.9605,604.0695,725.866,1.876237,16.87681,9.620726,6.49373,43.64031,0.1463164
108,A,2020-7-27 12,30.84313,313.6037,0.01967057,65.74607,3.623703,199.8643,4.316522,0.274452,762.1092,100.4527,230.3059,46.52271,461.892,609.2558,732.0986,1.3696712,14.90806,8.581792,5.925507,52.33008,0.1362224
109,A,2020-7-27 13,31.25364,310.2189,0.01966432,64.17542,2.399593,242.5488,1.285191,0.8942525,765.4107,100.423,107.84146,17.535497,470.0286,126.19504,151.63938,1.467445,15.03925,6.320276,4.071719,39.6476,0.1301565
110,A,2020-7-27 14,32.27316,316.6516,0.01848772,56.8781,2.663,220.0901,3.5995553,0.6451177,894.6518,100.396,243.7121,52.94871,465.4956,657.4123,789.9637,1.4378571,13.40126,5.504048,3.441249,39.94876,0.1213868
111,A,2020-7-27 15,32.90104,316.0705,0.01772094,52.07121,4.662102,233.0695,1.990504,0.32623409,1020.4283,100.3442,276.7461,55.89463,453.5378,624.6948,750.6499,1.2851647,13.6752,5.513358,3.209868,34.13869,0.1144281
112,A,2020-7-27 16,34.4349,318.0211,0.01723694,46.14335,4.335374,194.3178,0.02256597,0.06795845,1473.759,100.255,278.3253,52.86864,456.8906,633.4896,761.2181,1.1392778,15.15384,6.821529,3.949351,30.67831,0.1180443
113,A,2020-7-27 17,34.29865,314.4521,0.01709168,46.11458,4.96414,204.2603,3.30876,0.6126099,1507.928,100.2586,197.9846,40.8411,468.4893,352.0679,423.0542,1.57741,18.15568,7.258831,4.089741,23.90798,0.1199838
114,A,2020-7-27 18,34.56926,314.0971,0.01679042,44.46193,5.618894,197.8844,1.513491,0.2273488,1604.472,100.2861,189.4781,41.73464,469.6194,340.0923,408.6634,2.491086,21.02743,7.333784,4.120822,13.931,0.1254982
115,A,2020-7-27 19,34.20235,311.152,0.01661681,44.96925,5.683637,201.6356,0.1736378,0.70465396,1571.093,100.3244,110.35463,24.84213,470.7877,141.24498,169.72354,2.361337,20.46051,8.558107,4.661941,8.38301,0.1239166
116,A,2020-7-27 20,33.07927,308.6643,0.01699239,49.25404,6.181045,196,0,0.05522414,1194.197,100.391,72.68993,14.4134,449.1275,60.69336,72.93091,2.27578,19.81042,10.062301,5.420588,5.762388,0.128032
117,A,2020-7-27 21,32.049,306.7563,0.01749867,54.0462,6.073759,199.9325,0,0.05989868,866.8363,100.4596,43.785,5.380784,442.9994,4.75737,5.71659,2.403174,20.1186,11.11683,5.907825,4.717902,0.1287841
118,A,2020-7-27 22,31.29277,305.6462,0.01715229,55.51212,6.01781,198.2414,0,0.12353089,740.9309,100.5068,33.48768,2.781487,437.2251,0,0,2.553937,18.87216,10.9089,5.71944,6.198793,0.1221364
119,A,2020-7-27 23,30.60874,304.7607,0.01773153,59.88815,5.448529,202.3093,0,0.12132723,650.9359,100.5234,25.50377,1.710749,428.6293,0,0,3.439199,18.59577,10.901692,5.628081,6.616567,0.1184382
120,A,2020-7-28 0,29.60105,303.6751,0.01972474,70.92403,4.864859,196.9973,0,0.07163476,594.8775,100.5019,21.40941,0.9274841,426.4484,0,0,3.317581,20.06459,11.65337,6.115688,5.050036,0.1134153
