,pre_y0,pre_y1,pre_y2,pre_y3,pre_y4,pre_y5
135,1.19421,16.65571,5.834956,3.776136,47.39501,0.1296217
136,2.187045,18.77152,6.628882,4.205099,42.80092,0.126195
137,2.047418,19.92521,7.301478,4.382027,39.34218,0.1228271
138,2.448289,24.02098,7.152718,4.249687,26.73318,0.1253233
139,3.082049,26.85967,7.084221,4.156219,13.63573,0.1283158
140,4.212526,27.08326,7.72032,4.562778,5.227595,0.136255
141,4.997389,24.9949,7.533978,4.463484,3.075969,0.1346328
142,6.247895,25.96058,7.269807,4.37106,2.5163,0.1360395
143,6.791793,25.82792,6.95994,4.293323,4.54213,0.1291629
144,3.162058,20.65884,9.12718,5.28397,5.439551,0.1132758
145,1.864476,17.49963,9.049209,5.034929,8.14302,0.1019039
146,1.870327,17.71246,9.368244,5.003301,6.776426,0.1032787
147,2.348309,21.09033,10.270977,5.295614,3.064432,0.113373
148,3.434035,24.34798,11.59769,5.875928,0.3397956,0.1341739
149,4.361121,25.78179,13.48158,6.846122,0.0457702,0.1623049
150,4.194344,26.02092,15.52408,8.066592,1.197458,0.1835214
151,3.619268,21.88251,14.73682,8.05165,6.123037,0.1748912
152,3.524567,18.15374,13.25479,7.585352,11.19763,0.1677715
153,3.421096,18.20372,13.67093,8.536188,19.56631,0.1677278
154,3.563444,18.44769,14.14804,9.344147,37.21417,0.1586697
155,3.696968,17.93146,13.751378,9.790766,65.02936,0.1603089
156,3.082795,14.96421,13.61917,10.155047,95.31777,0.1544875
157,2.901314,16.12919,12.98731,9.943082,110.08233,0.1556234
158,2.673311,18.92674,10.98949,8.51013,114.37977,0.150142
159,1.635473,21.16209,8.633049,6.913331,101.51604,0.1433007
160,1.926567,23.61926,5.893639,4.59372,79.31305,0.1365175
161,2.463082,31.35105,6.577787,4.905308,57.39933,0.1438234
162,4.199729,34.72501,8.961607,5.929971,24.82063,0.1537411
163,4.566939,29.04333,6.567369,4.155492,8.522426,0.1382499
164,4.962376,28.00333,6.507044,4.038637,4.63253,0.1396163
165,5.534632,27.62855,6.799593,4.230499,3.594749,0.1389764
166,5.174178,25.55199,6.065596,3.772632,4.159212,0.1320169
167,5.224218,23.72041,5.33717,3.356405,6.245809,0.1251916
168,2.237074,18.54682,5.908313,3.745105,20.140798,0.10768813
169,2.247404,18.77491,5.898267,3.675821,15.937174,0.10263233
170,3.952217,19.24928,5.32585,3.135617,4.130513,0.09903614
171,3.9386,19.07535,6.233394,3.557878,1.80894212,0.10148446
172,2.008134,22.26018,6.179341,3.674952,1.155054497,0.1123224
173,4.124428,26.03755,8.291029,5.087894,0.873780006,0.1468732
174,8.736386,28.784,12.413848,7.686495,1.0765891,0.2126594
175,7.363342,27.83917,9.892361,6.462147,4.169782,0.1921798
176,2.920053,26.54642,6.68568,4.483833,9.769528,0.1545104
177,2.624881,28.46888,7.400562,4.728033,14.766117,0.1522254
178,2.734863,28.40193,8.82627,5.750256,19.66016,0.1547074
179,2.583702,35.83441,8.192359,5.667953,18.60439,0.1625484
180,2.407176,32.07363,6.517063,4.740905,32.41817,0.1600086
181,2.605726,27.6526,6.158753,4.850861,44.05765,0.1527757
182,2.240601,29.30873,6.541162,4.839149,45.87854,0.1393212
183,1.917127,38.12442,6.937848,4.746156,36.1866,0.1441415
184,1.952226,43.37095,5.360699,3.65944,25.50332,0.146777
185,2.437529,42.50779,5.550041,3.457159,18.10383,0.1497761
186,2.909581,50.40457,7.140487,4.207719,5.221855,0.1604575
187,3.101477,53.17436,8.114894,5.175231,0.32115186,0.1648407
188,4.191501,52.70478,8.084561,5.215446,0.017496908,0.1812093
189,4.239809,48.12607,10.071516,5.4949,0.0927563,0.1551933
190,3.83396,44.92703,12.34375,6.338195,0.2852801,0.144049
191,4.094214,42.13349,11.61418,5.917193,1.04764551,0.1342762
192,3.460134,40.11772,10.387217,6.38124,0.042898526,0.1610731
193,2.62415,37.90831,9.518652,6.058008,0.01357053,0.1451856
194,3.605809,37.02966,9.83985,6.459677,0.01743926,0.1355848
195,9.257505,38.99581,12.489511,7.989656,0.000848536,0.1880186
196,11.18491,42.80218,12.25647,7.849425,0.00086406,0.1928954
197,20.06643,53.07975,17.12853,11.493702,0.000343305,0.2380387
198,21.904833,55.76008,19.21934,13.543501,1.0175537,0.3120942
199,19.420263,51.16687,20.03001,14.803573,5.509608,0.3152857
200,13.342984,41.26404,17.242425,12.438447,16.27342,0.2490639
201,8.875234,35.87344,12.586346,8.799176,24.43083,0.1799741
202,5.105115,28.59299,10.818133,7.537304,41.33783,0.1480724
203,3.854367,22.28979,11.987809,8.785893,62.53114,0.1385979
204,2.028825,21.55423,8.829935,6.781974,62.86496,0.1275927
205,1.762449,24.01055,4.732475,3.583406,46.20413,0.1271351
206,1.809063,25.0798,2.81656,2.171919,32.28506,0.1291092
207,2.647377,31.78878,2.853558,2.12643,18.24275,0.1443855
208,3.234454,34.58188,3.808424,2.919247,13.02131,0.1519889
209,3.355277,32.89894,3.043112,2.401697,5.943675,0.1468758
210,5.224603,36.64605,4.103278,3.08914,1.775929,0.1657487
211,6.766998,37.13519,7.464495,5.496703,0.047789727,0.1942242
212,6.756965,37.07692,9.163159,5.98037,0.061556253,0.1949316
213,7.489416,36.70423,10.527691,7.03779,0.011882729,0.2133357
214,9.1619805,37.63384,7.0144856,5.2450835,0.00902751,0.2287579
215,10.515586,38.18908,10.790494,7.679386,0.011836952,0.2654578
216,6.3601116,22.74422,6.0866625,4.1482121,0.87655404,0.1593596
217,6.4406533,21.75389,6.03264,4.028732,1.66090579,0.1433028
218,5.793898,24.37611,5.685485,3.40454,0.5139834,0.1312368
219,4.364549,24.50678,4.286238,2.629134,0.8382209,0.1236503
220,3.811848,26.82724,4.762801,2.791296,1.9861308,0.1232884
221,2.732659,25.95523,3.035888,1.850908,3.9558811,0.1215505
222,1.4655106,23.68776,2.827513,1.917165,4.1837892,0.1254583
223,2.2936443,23.6892,4.121783,2.910848,2.785524,0.1530582
224,1.975859,20.98292,3.482704,2.406332,7.096251,0.154489
225,0.8073549,19.67691,3.28585,2.512819,8.679547,0.13843
226,1.873782,23.14285,3.217991,2.55454,8.407878,0.1475012
227,2.431249,24.99093,4.33388,3.152502,10.494691,0.1521288
228,1.917225,21.22659,4.774318,3.048217,15.68605,0.1464151
229,2.310173,16.25019,8.514261,4.297404,24.59828,0.1319827
230,1.988429,13.629536,8.910165,4.395819,30.39501,0.1155139
231,1.721392,17.33367,9.866042,4.918615,26.45607,0.1184459
232,1.463787,19.21423,9.237455,4.406278,21.62128,0.1168391
233,1.427909,23.05154,7.375567,3.705128,16.497767,0.1197693
234,1.1968464,33.05947,6.941633,3.408202,6.654515,0.1290769
235,0.8728225,37.88134,7.493924,4.148607,0.8941569,0.1369586
236,2.20067,36.38971,9.065175,5.806208,0.46401363,0.162728
237,4.269988,40.83485,9.5854,6.236317,0.02469733,0.1778179
238,2.212547,41.53559,8.642559,5.491335,0.3863132,0.1482432
239,2.686493,39.99387,6.607439,4.210941,3.0032221,0.1379583
240,4.53715,41.3617,4.722676,3.459827,3.01976522,0.1569794
241,5.585034,41.1025,3.708153,2.793293,5.37463488,0.1588842
242,6.704824,36.6925,3.3862511,2.482039,7.86538249,0.1655243
243,7.5715998,38.75613,3.0686646,2.2658156,7.7960322,0.1700457
244,11.481802,44.60134,4.0292184,3.0333689,3.53425397,0.1734106
245,13.263647,46.12049,5.399893,3.903745,1.961370373,0.1676834
246,12.619008,44.99634,7.733898,5.569897,2.5030223,0.1922914
247,6.3015223,43.93651,8.383488,6.352332,1.7415357,0.2154744
248,5.7029856,45.30891,7.726251,5.869063,4.322416,0.1987472
249,2.7699706,33.76288,5.059444,3.725952,14.51556,0.1598445
250,1.625279,20.39566,3.222489,2.243005,29.10531,0.1383308
251,1.0606363,14.30696,3.150453,2.307887,48.95685,0.126001
252,1.32367298,21.19371,2.414845,1.7754947,34.45053,0.1317185
253,1.12326447,25.44031,2.903417,2.173723,25.11691,0.1460702
254,0.43328293,30.09385,3.482703,2.530157,18.221733,0.1577063
255,0.9279572,39.65328,2.843318,2.141903,12.074019,0.1680096
256,0.5780207,45.69184,3.655696,2.754158,5.445247,0.1722715
257,0.6700882,36.47464,4.271891,2.995015,10.476036,0.1627731
258,1.9152255,43.72635,5.576061,3.584702,6.174546,0.1803957
259,2.643667,51.09235,6.131664,3.890028,0.236339186,0.2080743
260,2.979895,45.49501,7.449664,4.646955,2.992815002,0.1968658
261,1.622882,31.382,6.01873,3.344372,12.28432,0.1329725
262,1.0345657,30.26783,4.848906,2.88528,11.997948,0.1237015
263,0.6206389,25.15368,3.535401,2.037094,17.46515,0.1134496
264,0.4178774,18.43737,2.550441,1.515369,28.44376,0.1091941
265,0.38798015,19.83173,2.0633321,1.2399223,27.7911,0.111465
266,0.6892457,26.90405,2.819051,1.5417414,19.75919,0.1205894
267,1.0805111,38.20923,4.824128,2.825106,8.618939,0.1471056
268,1.065002,36.7383,4.580738,3.025122,9.964925,0.1597611
269,1.2933949,42.51623,3.788645,2.428259,6.925826,0.1809101
270,1.42667,40.99752,3.545025,2.391383,11.04154,0.1800557
271,1.897675,34.65416,4.49028,3.204193,20.77415,0.1780554
272,3.188911,33.37003,8.966557,6.659498,26.38001,0.1972686
273,3.065118,41.50231,7.634468,6.161232,24.17562,0.1839299
274,2.712148,37.77369,7.288929,5.984536,33.49576,0.1777716
275,3.473062,53.15713,8.491075,7.266585,22.08002,0.1943987
276,3.437798,56.45946,8.014892,6.787949,25.58507,0.1853914
277,2.798762,53.04005,6.638534,5.632971,28.9299,0.1707982
278,4.056503,53.68272,7.243801,5.805071,29.02354,0.1805611
279,4.175351,56.36574,9.36792,6.780488,19.1161,0.1974369
280,5.391308,61.32117,13.718352,9.00541,11.2827087,0.2176351
281,4.339268,67.68591,18.941602,11.246142,7.1050316,0.2299001
282,5.944534,64.02979,17.556,10.209246,7.7534315,0.2200222
283,11.026489,57.13266,14.092371,9.280867,9.642967159,0.2395214
284,8.421707,56.346,8.460203,6.130451,9.849337,0.194286
285,3.804787,41.74506,10.044703,6.253662,13.186664,0.1647074
286,4.512281,41.53641,7.834372,4.685757,12.1480275,0.1545666
287,6.434189,49.11193,8.856222,5.274988,4.88122,0.1754823
288,6.018614,44.63982,9.19575,5.476969,7.4345525,0.1880107
289,9.045879,43.48125,9.489112,5.558,5.92613148,0.2201008
290,9.821984,46.78791,13.43888,7.83418,1.58006066,0.2274506
291,12.496699,50.2358,19.83008,11.36749,1.0705519,0.2702051
292,12.423872,50.03072,18.02471,10.61529,4.659558,0.2933002
293,11.822087,48.67117,12.21018,7.897688,10.091102,0.2805985
294,10.589982,41.71098,10.822643,7.533146,21.560587,0.2532987
295,7.459494,37.83912,9.386266,6.813347,32.45918,0.2153036
296,6.483811,41.17647,8.942108,6.859771,35.80915,0.2149612
297,7.67214,40.58379,11.43764,9.19439,52.1568,0.2255998
298,9.290105,45.35157,13.93236,11.63291,74.15223,0.2309283
299,8.385931,40.41002,16.44914,13.89559,101.36347,0.2329998
300,6.41719,41.38414,15.41931,13.1607,93.81865,0.2208471
301,5.057913,43.19354,12.1612,10.077565,93.29679,0.2199044
302,5.909212,46.41315,10.940515,9.071885,84.01201,0.2171703
303,5.547154,48.73183,13.48607,10.642912,72.29805,0.2056856
304,4.385784,59.70724,11.995366,8.530928,42.36852,0.2119885
305,5.065839,50.45269,11.531227,8.271245,39.02976,0.1924588
306,4.365176,41.8983,10.031671,7.102115,33.03518,0.1787091
307,2.551351,37.37749,5.162189,3.251636,26.19792,0.1754112
308,2.999509,30.12276,5.219939,3.563634,31.92089,0.1673156
309,1.706529,22.9356,5.653657,3.302885,26.80168,0.1223048
310,1.0412663,19.62504,5.836851,3.199902,30.57799,0.1108821
311,0.50498442,18.3282,4.228545,2.2779104,31.34806,0.1102002
312,0.4209403,21.33382,5.389145,3.262151,29.89328,0.114085
313,0.9621248,31.27232,5.971325,3.585236,20.63861,0.1268966
314,1.0781247,35.06026,6.885102,3.531724,17.73831,0.1345067
315,0.9957562,38.88944,7.89089,4.211107,15.85701,0.1452396
316,1.763299,36.03945,6.025779,3.660184,19.79312,0.1544997
317,4.249923,36.13369,5.454338,3.582256,21.65856,0.1713918
318,3.454376,33.75239,8.253558,5.516254,27.174665,0.1827584
319,2.444545,33.57663,7.398253,4.979953,32.20871,0.1904742
320,1.2450443,31.12736,4.479677,3.420815,28.364684,0.1686663
321,0.2050102,27.76131,3.002752,2.419165,28.640479,0.1629047
322,2.118482,31.33136,4.301002,3.267233,34.31486,0.1649989
323,2.748156,26.95192,4.66054,3.668405,39.07292,0.15004
324,2.1254952,28.42078,4.0637527,2.491532,28.51385,0.1437095
325,1.388352,26.42631,5.807164,3.463979,27.58736,0.1427921
326,2.696387,26.1552,8.635922,5.083198,26.12589,0.1352781
327,2.714273,28.48724,8.04558,4.664717,20.22303,0.1420004
328,3.524318,32.15421,7.244067,4.129402,13.851016,0.1476532
329,2.13123788,32.16087,8.218203,4.630452,13.20885,0.1494597
330,1.0821787,31.32614,10.269605,6.101241,11.7384,0.1455006
331,0.85742662,24.82967,5.632989,3.442955,15.24387,0.1348853
332,1.804751,21.9104,3.94063,2.555437,19.92691,0.1268038
333,2.055906,22.54202,8.921744,4.146358,11.213746,0.1312469
334,1.500337,20.70465,8.96449,4.262496,16.15214,0.10717221
335,0.9405143,19.18329,7.95729,3.838974,16.38278,0.09857511
336,0.7259053,20.86484,8.047304,3.901544,13.83045,0.10041902
337,0.9566297,24.61054,7.775889,3.806123,10.55468,0.1052159
338,2.3451394,28.98785,8.671371,4.488843,6.407306,0.117385
339,4.1591206,32.44654,10.547626,6.015647,2.696943,0.1464942
340,6.293258,31.94788,11.278224,7.079124,5.069736,0.1655023
341,5.334304,25.98736,9.774218,6.315301,10.381136,0.1548186
342,3.944083,22.14335,8.648392,5.905567,16.67707,0.1423988
343,3.590597,25.21757,9.336937,6.651251,19.6138,0.1462135
344,3.238452,23.7636,9.663316,6.932058,32.675035,0.1429437
345,1.3290083,20.51829,8.189933,5.794588,38.21838,0.1301435
346,1.6758995,19.71651,6.658547,4.651028,36.56254,0.1279565
347,2.026226,18.05198,6.847701,4.704985,38.21521,0.1302536
348,1.236479,20.30861,7.530811,5.275252,35.08958,0.1360515
349,1.1102516,22.25428,7.958563,5.680626,32.11478,0.1380159
350,1.37606,27.79279,7.889804,5.535564,24.57452,0.147082
351,1.2069219,34.04924,7.890519,4.890136,13.7821,0.1483882
352,1.719654,37.46989,8.943663,5.624929,4.895644,0.1695101
353,4.438852,40.81836,9.638161,6.094561,0.7348971,0.2164708
354,5.979411,41.13084,12.255994,7.831826,0.6932865,0.2149199
355,5.740073,47.8853,13.88809,10.10404,2.291384947,0.2254073
356,4.818912,42.65967,10.599783,7.314462,3.5361742,0.1687994
357,2.957222,25.22102,10.390794,5.290926,13.7105036,0.1161558
358,2.6243553,23.93307,10.821799,5.405532,15.096388,0.108243
359,2.4933834,24.29748,11.64978,5.713174,14.469252,0.1075983
360,1.6405963,23.04624,12.22207,5.940374,15.37295,0.1073486
361,1.487377,24.88708,13.37039,6.641691,13.14869,0.1113689
362,2.066977,30.46972,15.56892,7.593998,7.758207,0.1252175
363,2.112484,33.10625,16.61734,8.650204,6.878006,0.1426015
364,2.05014,26.83059,13.68958,7.42938,14.619657,0.1434006
365,2.352388,23.21795,11.94991,6.837124,21.94065,0.1474617
366,2.732937,21.16445,11.638819,7.081392,30.30927,0.1465851
367,2.419039,18.9081,9.588857,5.929694,41.24519,0.1373517
368,2.381151,15.3111,9.561351,5.824253,51.35512,0.1301739
369,2.416794,13.64439,9.660571,5.414749,56.26992,0.1264071
370,2.0305,15.42691,7.802388,4.448729,51.74168,0.128498
371,1.996092,16.14551,6.564274,3.822075,49.35706,0.123601
372,1.892923,18.49216,7.415876,4.445492,45.27097,0.1325984
373,2.287703,21.26234,8.228008,4.769528,33.61189,0.1412387
374,2.079783,22.16942,9.155873,5.009068,24.78525,0.1354903
375,2.217941,25.85283,9.866784,5.403649,14.26641,0.1387338
376,1.865244,28.31208,12.17851,6.648572,9.425524,0.142587
377,1.840525,28.1006,13.56876,7.153882,8.554668,0.1431126
378,1.93663,27.27418,12.412758,6.380813,10.1177,0.139007
379,2.065472,24.37864,10.195474,5.390672,14.17026,0.1307065
380,2.003719,21.20298,9.23835,4.94044,17.71796,0.1227858
381,1.26399,17.17049,11.05788,5.58883,22.754,0.1117451
382,0.7657141,15.39088,11.11225,5.457125,24.398,0.1032284
383,0.761195,16.85337,11.42353,5.500762,22.80642,0.1033892
384,0.8748834,20.15391,11.7266,5.541293,19.85207,0.1070687
385,1.4814225,25.35489,11.83335,5.537298,15.586086,0.1127523
386,3.160839,33.03519,12.65254,6.145011,10.0112662,0.1307183
387,5.067355,38.90374,13.17559,6.866816,6.810116,0.1535083
388,7.66911,32.4183,11.74596,6.561123,14.37155,0.1598098
389,8.14067,27.55085,10.639009,6.258507,20.43254,0.1640965
390,6.70873,22.32253,10.071798,6.073029,29.64093,0.1468859
391,5.080338,18.17248,10.190254,6.267021,41.8815,0.1330755
392,4.163487,15.24988,10.69042,6.511686,53.17103,0.1251719
393,2.900101,12.64062,9.525805,5.9163,66.73974,0.1208042
394,1.956878,12.08322,7.863841,4.940739,69.63721,0.1181595
395,1.717724,12.25585,7.469971,4.743102,66.57147,0.1166511
396,1.926595,14.81138,6.813374,4.216899,61.03528,0.1200998
397,2.277808,19.76451,6.90168,4.244941,51.81845,0.1288802
398,2.453011,25.08017,7.880591,4.809438,34.95909,0.1380785
399,2.22902,28.62207,8.733104,5.232969,16.29546,0.1431623
400,2.058271,29.03246,9.305578,5.602787,6.065818,0.1495617
401,2.45808,29.09228,11.65355,7.310102,2.553226,0.1624181
402,2.614225,28.74038,13.30505,8.489702,1.771866,0.1633562
403,2.839356,28.12261,12.62149,8.278103,2.285973,0.1573255
404,3.664667,29.04208,11.37503,7.704165,2.566604,0.153991
405,4.993419,24.63312,9.132634,6.177076,5.292345,0.1359139
406,2.652719,19.56714,7.971829,5.346228,11.379218,0.1170727
407,2.243227,18.64824,8.108643,5.365163,12.17196,0.1113951
408,2.347006,22.44994,9.671685,6.099091,8.371956,0.1173554
409,2.718785,28.19066,12.397929,7.463946,3.725975,0.1341415
410,2.719147,32.52349,17.65143,10.400446,0.6780456,0.1613346
411,3.038803,30.73442,20.04134,11.86723,1.2004732,0.1875104
412,3.63554,27.03471,17.34119,10.504695,5.573557,0.188172
413,2.922,21.42868,13.56744,8.521432,13.25098,0.1657262
414,2.910863,17.79265,12.41879,8.233433,22.28185,0.1642959
415,3.341842,17.86765,13.4536,9.269575,36.44426,0.1695277
416,3.166787,15.66228,14.14626,10.309334,62.14268,0.1609112
417,2.634938,14.03102,12.60154,9.233066,85.98582,0.1479533
418,1.878552,14.84184,9.846139,7.182555,83.65472,0.135392
419,2.069333,14.3051,8.384744,6.166568,83.87788,0.1318607
