,real_index,1,8,9,10,11,12
89,41,2020-7-24 17,35.9,52,1003.4,1.8,115.2
90,42,2020-7-24 18,33.9,64,1003.3,2.4,118.2
91,43,2020-7-24 19,33.2,66,1003.8,2.1,123.5
92,44,2020-7-24 20,33.0,65,1004.4,1.8,250.4
93,45,2020-7-24 21,32.6,64,1005.0,2.1,257.7
94,46,2020-7-24 22,32.0,68,1005.6,2.0,239.9
95,47,2020-7-24 23,31.6,71,1005.9,1.8,228.8
96,48,2020-7-25 0,31.4,71,1005.8,1.6,227.1
97,49,2020-7-25 1,31.1,71,1005.6,0.9,241.1
98,50,2020-7-25 2,30.6,73,1005.5,1.0,257.3
99,51,2020-7-25 3,30.1,74,1005.4,1.1,265.9
100,52,2020-7-25 4,29.7,74,1005.5,1.2,266.9
101,53,2020-7-25 5,29.6,75,1005.4,1.3,258.9
102,54,2020-7-25 6,29.6,77,1005.8,1.4,241.6
103,55,2020-7-25 7,30.4,74,1006.1,1.9,250.7
104,56,2020-7-25 8,31.2,69,1006.3,2.0,255.2
105,57,2020-7-25 9,32.4,64,1006.3,1.8,249.8
106,58,2020-7-25 10,33.6,59,1006.0,1.3,251.7
107,59,2020-7-25 11,34.3,58,1005.6,1.6,218.4
108,60,2020-7-25 12,35.6,54,1004.9,1.8,261.2
109,61,2020-7-25 13,35.9,51,1004.1,1.5,262.3
110,62,2020-7-25 14,37.1,46,1003.3,1.3,240.8
111,63,2020-7-25 15,37.3,46,1002.6,1.3,176.9
112,64,2020-7-25 16,36.3,53,1002.2,1.9,113.8
113,65,2020-7-25 17,34.6,62,1002.3,2.4,122.4
114,66,2020-7-25 18,34.2,64,1002.6,2.0,114.3
115,67,2020-7-25 19,33.8,64,1003.4,1.8,256.9
116,68,2020-7-25 20,33.1,64,1004.1,2.5,240.8
117,69,2020-7-25 21,32.5,65,1004.5,2.0,252.4
118,70,2020-7-25 22,32.2,65,1005.1,1.4,267.0
119,71,2020-7-25 23,31.8,67,1005.4,1.7,258.0
120,72,2020-7-26 0,31.2,71,1005.1,1.7,250.8
121,73,2020-7-26 1,30.8,74,1004.8,1.8,225.7
122,74,2020-7-26 2,30.8,70,1004.3,1.3,237.0
123,75,2020-7-26 3,30.4,71,1003.9,1.3,246.7
124,76,2020-7-26 4,30.2,74,1003.9,1.5,234.7
125,77,2020-7-26 5,30.1,76,1004.2,1.4,237.1
126,78,2020-7-26 6,29.9,78,1004.8,1.3,253.1
127,79,2020-7-26 7,30.8,74,1005.2,1.5,251.7
128,80,2020-7-26 8,31.7,69,1005.5,1.7,243.3
129,81,2020-7-26 9,32.4,65,1005.7,2.1,228.4
130,82,2020-7-26 10,33.4,61,1005.7,1.7,243.2
131,83,2020-7-26 11,34.6,58,1005.4,1.5,245.2
132,84,2020-7-26 12,34.9,56,1004.7,1.7,222.4
133,85,2020-7-26 13,35.8,52,1003.6,1.6,221.4
134,86,2020-7-26 14,36.2,51,1002.5,1.5,118.2
135,87,2020-7-26 15,34.8,58,1002.1,2.4,123.6
136,88,2020-7-26 16,33.9,62,1002.1,2.4,109.9
137,89,2020-7-26 17,34.2,61,1001.7,2.0,145.7
138,90,2020-7-26 18,33.9,59,1001.8,2.6,237.7
139,91,2020-7-26 19,33.1,60,1002.3,2.4,227.8
140,92,2020-7-26 20,32.4,62,1002.8,1.7,269.1
141,93,2020-7-26 21,31.9,61,1003.5,1.6,262.9
142,94,2020-7-26 22,31.4,65,1004.3,1.4,284.4
143,95,2020-7-26 23,31.1,67,1004.4,1.5,251.4
144,48,2020-7-25 0,31.4,71,1005.8,1.6,227.1
145,49,2020-7-25 1,31.1,71,1005.6,0.9,241.1
146,50,2020-7-25 2,30.6,73,1005.5,1.0,257.3
147,51,2020-7-25 3,30.1,74,1005.4,1.1,265.9
148,52,2020-7-25 4,29.7,74,1005.5,1.2,266.9
149,53,2020-7-25 5,29.6,75,1005.4,1.3,258.9
150,54,2020-7-25 6,29.6,77,1005.8,1.4,241.6
151,55,2020-7-25 7,30.4,74,1006.1,1.9,250.7
152,56,2020-7-25 8,31.2,69,1006.3,2.0,255.2
153,57,2020-7-25 9,32.4,64,1006.3,1.8,249.8
154,58,2020-7-25 10,33.6,59,1006.0,1.3,251.7
155,59,2020-7-25 11,34.3,58,1005.6,1.6,218.4
156,60,2020-7-25 12,35.6,54,1004.9,1.8,261.2
157,61,2020-7-25 13,35.9,51,1004.1,1.5,262.3
158,62,2020-7-25 14,37.1,46,1003.3,1.3,240.8
159,63,2020-7-25 15,37.3,46,1002.6,1.3,176.9
160,64,2020-7-25 16,36.3,53,1002.2,1.9,113.8
161,65,2020-7-25 17,34.6,62,1002.3,2.4,122.4
162,66,2020-7-25 18,34.2,64,1002.6,2.0,114.3
163,67,2020-7-25 19,33.8,64,1003.4,1.8,256.9
164,68,2020-7-25 20,33.1,64,1004.1,2.5,240.8
165,69,2020-7-25 21,32.5,65,1004.5,2.0,252.4
166,70,2020-7-25 22,32.2,65,1005.1,1.4,267.0
167,71,2020-7-25 23,31.8,67,1005.4,1.7,258.0
168,72,2020-7-26 0,31.2,71,1005.1,1.7,250.8
169,73,2020-7-26 1,30.8,74,1004.8,1.8,225.7
170,74,2020-7-26 2,30.8,70,1004.3,1.3,237.0
171,75,2020-7-26 3,30.4,71,1003.9,1.3,246.7
172,76,2020-7-26 4,30.2,74,1003.9,1.5,234.7
173,77,2020-7-26 5,30.1,76,1004.2,1.4,237.1
174,78,2020-7-26 6,29.9,78,1004.8,1.3,253.1
175,79,2020-7-26 7,30.8,74,1005.2,1.5,251.7
176,80,2020-7-26 8,31.7,69,1005.5,1.7,243.3
177,81,2020-7-26 9,32.4,65,1005.7,2.1,228.4
178,82,2020-7-26 10,33.4,61,1005.7,1.7,243.2
179,83,2020-7-26 11,34.6,58,1005.4,1.5,245.2
180,84,2020-7-26 12,34.9,56,1004.7,1.7,222.4
181,85,2020-7-26 13,35.8,52,1003.6,1.6,221.4
182,86,2020-7-26 14,36.2,51,1002.5,1.5,118.2
183,87,2020-7-26 15,34.8,58,1002.1,2.4,123.6
184,88,2020-7-26 16,33.9,62,1002.1,2.4,109.9
185,89,2020-7-26 17,34.2,61,1001.7,2.0,145.7
186,90,2020-7-26 18,33.9,59,1001.8,2.6,237.7
187,91,2020-7-26 19,33.1,60,1002.3,2.4,227.8
188,92,2020-7-26 20,32.4,62,1002.8,1.7,269.1
189,93,2020-7-26 21,31.9,61,1003.5,1.6,262.9
190,94,2020-7-26 22,31.4,65,1004.3,1.4,284.4
191,95,2020-7-26 23,31.1,67,1004.4,1.5,251.4
192,96,2020-7-27 0,30.6,72,1004.4,1.7,262.7
193,97,2020-7-27 1,30.2,74,1004.1,2.2,235.4
194,98,2020-7-27 2,30.0,72,1003.8,1.8,230.4
195,99,2020-7-27 3,29.8,73,1003.5,1.5,238.0
196,100,2020-7-27 4,29.7,74,1003.5,1.0,243.4
197,101,2020-7-27 5,29.6,75,1003.6,1.0,257.0
198,102,2020-7-27 6,29.8,75,1004.0,1.1,107.9
199,103,2020-7-27 7,30.9,71,1004.4,1.2,227.1
200,104,2020-7-27 8,31.0,70,1004.9,1.6,240.5
201,105,2020-7-27 9,32.5,64,1004.8,1.3,245.9
202,106,2020-7-27 10,32.5,63,1004.6,1.8,236.0
203,107,2020-7-27 11,33.9,56,1004.2,1.8,249.3
204,108,2020-7-27 12,35.0,53,1004.0,1.8,249.2
205,109,2020-7-27 13,34.9,53,1003.4,2.0,238.9
206,110,2020-7-27 14,34.7,54,1002.8,2.1,153.1
207,111,2020-7-27 15,32.9,64,1002.4,2.6,129.3
208,112,2020-7-27 16,33.7,61,1001.9,2.5,124.7
209,113,2020-7-27 17,33.6,64,1001.8,2.1,126.0
210,114,2020-7-27 18,33.9,56,1002.0,2.0,243.4
211,115,2020-7-27 19,32.9,60,1002.7,2.6,240.4
212,116,2020-7-27 20,32.0,65,1003.5,2.6,227.7
213,117,2020-7-27 21,31.4,69,1004.3,2.4,237.2
214,118,2020-7-27 22,30.9,73,1005.1,2.0,254.9
215,119,2020-7-27 23,30.5,75,1005.3,1.3,335.1
216,72,2020-7-26 0,31.2,71,1005.1,1.7,250.8
217,73,2020-7-26 1,30.8,74,1004.8,1.8,225.7
218,74,2020-7-26 2,30.8,70,1004.3,1.3,237.0
219,75,2020-7-26 3,30.4,71,1003.9,1.3,246.7
220,76,2020-7-26 4,30.2,74,1003.9,1.5,234.7
221,77,2020-7-26 5,30.1,76,1004.2,1.4,237.1
222,78,2020-7-26 6,29.9,78,1004.8,1.3,253.1
223,79,2020-7-26 7,30.8,74,1005.2,1.5,251.7
224,80,2020-7-26 8,31.7,69,1005.5,1.7,243.3
225,81,2020-7-26 9,32.4,65,1005.7,2.1,228.4
226,82,2020-7-26 10,33.4,61,1005.7,1.7,243.2
227,83,2020-7-26 11,34.6,58,1005.4,1.5,245.2
228,84,2020-7-26 12,34.9,56,1004.7,1.7,222.4
229,85,2020-7-26 13,35.8,52,1003.6,1.6,221.4
230,86,2020-7-26 14,36.2,51,1002.5,1.5,118.2
231,87,2020-7-26 15,34.8,58,1002.1,2.4,123.6
232,88,2020-7-26 16,33.9,62,1002.1,2.4,109.9
233,89,2020-7-26 17,34.2,61,1001.7,2.0,145.7
234,90,2020-7-26 18,33.9,59,1001.8,2.6,237.7
235,91,2020-7-26 19,33.1,60,1002.3,2.4,227.8
236,92,2020-7-26 20,32.4,62,1002.8,1.7,269.1
237,93,2020-7-26 21,31.9,61,1003.5,1.6,262.9
238,94,2020-7-26 22,31.4,65,1004.3,1.4,284.4
239,95,2020-7-26 23,31.1,67,1004.4,1.5,251.4
240,96,2020-7-27 0,30.6,72,1004.4,1.7,262.7
241,97,2020-7-27 1,30.2,74,1004.1,2.2,235.4
242,98,2020-7-27 2,30.0,72,1003.8,1.8,230.4
243,99,2020-7-27 3,29.8,73,1003.5,1.5,238.0
244,100,2020-7-27 4,29.7,74,1003.5,1.0,243.4
245,101,2020-7-27 5,29.6,75,1003.6,1.0,257.0
246,102,2020-7-27 6,29.8,75,1004.0,1.1,107.9
247,103,2020-7-27 7,30.9,71,1004.4,1.2,227.1
248,104,2020-7-27 8,31.0,70,1004.9,1.6,240.5
249,105,2020-7-27 9,32.5,64,1004.8,1.3,245.9
250,106,2020-7-27 10,32.5,63,1004.6,1.8,236.0
251,107,2020-7-27 11,33.9,56,1004.2,1.8,249.3
252,108,2020-7-27 12,35.0,53,1004.0,1.8,249.2
253,109,2020-7-27 13,34.9,53,1003.4,2.0,238.9
254,110,2020-7-27 14,34.7,54,1002.8,2.1,153.1
255,111,2020-7-27 15,32.9,64,1002.4,2.6,129.3
256,112,2020-7-27 16,33.7,61,1001.9,2.5,124.7
257,113,2020-7-27 17,33.6,64,1001.8,2.1,126.0
258,114,2020-7-27 18,33.9,56,1002.0,2.0,243.4
259,115,2020-7-27 19,32.9,60,1002.7,2.6,240.4
260,116,2020-7-27 20,32.0,65,1003.5,2.6,227.7
261,117,2020-7-27 21,31.4,69,1004.3,2.4,237.2
262,118,2020-7-27 22,30.9,73,1005.1,2.0,254.9
263,119,2020-7-27 23,30.5,75,1005.3,1.3,335.1
264,120,2020-7-28 0,30.2,77,1005.0,1.3,270.7
265,121,2020-7-28 1,30.1,76,1004.7,1.5,258.0
266,122,2020-7-28 2,29.8,77,1004.3,1.7,275.4
267,123,2020-7-28 3,29.7,79,1004.7,1.5,258.4
268,124,2020-7-28 4,29.8,78,1004.9,1.4,261.2
269,125,2020-7-28 5,29.8,78,1005.4,1.5,246.3
270,126,2020-7-28 6,29.8,80,1005.8,0.9,262.1
271,127,2020-7-28 7,29.8,78,1006.2,0.8,275.2
272,128,2020-7-28 8,31.4,68,1006.5,1.3,247.4
273,129,2020-7-28 9,32.1,64,1006.5,1.4,260.8
274,130,2020-7-28 10,33.3,60,1006.6,1.4,243.6
275,131,2020-7-28 11,34.2,56,1006.1,1.6,228.4
276,132,2020-7-28 12,35.0,53,1005.3,1.6,235.0
277,133,2020-7-28 13,32.6,64,1004.8,2.0,186.6
278,134,2020-7-28 14,31.3,69,1004.3,1.8,66.2
279,135,2020-7-28 15,32.6,64,1003.5,2.0,108.1
280,136,2020-7-28 16,34.1,60,1003.0,2.1,85.7
281,137,2020-7-28 17,33.2,62,1003.1,2.4,72.5
282,138,2020-7-28 18,31.1,68,1003.5,2.0,245.9
283,139,2020-7-28 19,31.6,71,1004.1,1.2,317.3
284,140,2020-7-28 20,31.9,69,1005.1,1.5,258.7
285,141,2020-7-28 21,31.6,68,1005.9,1.9,236.9
286,142,2020-7-28 22,31.2,69,1006.4,1.7,240.3
287,143,2020-7-28 23,30.7,73,1006.3,1.0,67.2
288,96,2020-7-27 0,30.6,72,1004.4,1.7,262.7
289,97,2020-7-27 1,30.2,74,1004.1,2.2,235.4
290,98,2020-7-27 2,30.0,72,1003.8,1.8,230.4
291,99,2020-7-27 3,29.8,73,1003.5,1.5,238.0
292,100,2020-7-27 4,29.7,74,1003.5,1.0,243.4
293,101,2020-7-27 5,29.6,75,1003.6,1.0,257.0
294,102,2020-7-27 6,29.8,75,1004.0,1.1,107.9
295,103,2020-7-27 7,30.9,71,1004.4,1.2,227.1
296,104,2020-7-27 8,31.0,70,1004.9,1.6,240.5
297,105,2020-7-27 9,32.5,64,1004.8,1.3,245.9
298,106,2020-7-27 10,32.5,63,1004.6,1.8,236.0
299,107,2020-7-27 11,33.9,56,1004.2,1.8,249.3
300,108,2020-7-27 12,35.0,53,1004.0,1.8,249.2
301,109,2020-7-27 13,34.9,53,1003.4,2.0,238.9
302,110,2020-7-27 14,34.7,54,1002.8,2.1,153.1
303,111,2020-7-27 15,32.9,64,1002.4,2.6,129.3
304,112,2020-7-27 16,33.7,61,1001.9,2.5,124.7
305,113,2020-7-27 17,33.6,64,1001.8,2.1,126.0
306,114,2020-7-27 18,33.9,56,1002.0,2.0,243.4
307,115,2020-7-27 19,32.9,60,1002.7,2.6,240.4
308,116,2020-7-27 20,32.0,65,1003.5,2.6,227.7
309,117,2020-7-27 21,31.4,69,1004.3,2.4,237.2
310,118,2020-7-27 22,30.9,73,1005.1,2.0,254.9
311,119,2020-7-27 23,30.5,75,1005.3,1.3,335.1
312,120,2020-7-28 0,30.2,77,1005.0,1.3,270.7
313,121,2020-7-28 1,30.1,76,1004.7,1.5,258.0
314,122,2020-7-28 2,29.8,77,1004.3,1.7,275.4
315,123,2020-7-28 3,29.7,79,1004.7,1.5,258.4
316,124,2020-7-28 4,29.8,78,1004.9,1.4,261.2
317,125,2020-7-28 5,29.8,78,1005.4,1.5,246.3
318,126,2020-7-28 6,29.8,80,1005.8,0.9,262.1
319,127,2020-7-28 7,29.8,78,1006.2,0.8,275.2
320,128,2020-7-28 8,31.4,68,1006.5,1.3,247.4
321,129,2020-7-28 9,32.1,64,1006.5,1.4,260.8
322,130,2020-7-28 10,33.3,60,1006.6,1.4,243.6
323,131,2020-7-28 11,34.2,56,1006.1,1.6,228.4
324,132,2020-7-28 12,35.0,53,1005.3,1.6,235.0
325,133,2020-7-28 13,32.6,64,1004.8,2.0,186.6
326,134,2020-7-28 14,31.3,69,1004.3,1.8,66.2
327,135,2020-7-28 15,32.6,64,1003.5,2.0,108.1
328,136,2020-7-28 16,34.1,60,1003.0,2.1,85.7
329,137,2020-7-28 17,33.2,62,1003.1,2.4,72.5
330,138,2020-7-28 18,31.1,68,1003.5,2.0,245.9
331,139,2020-7-28 19,31.6,71,1004.1,1.2,317.3
332,140,2020-7-28 20,31.9,69,1005.1,1.5,258.7
333,141,2020-7-28 21,31.6,68,1005.9,1.9,236.9
334,142,2020-7-28 22,31.2,69,1006.4,1.7,240.3
335,143,2020-7-28 23,30.7,73,1006.3,1.0,67.2
336,144,2020-7-29 0,30.4,74,1005.9,1.1,310.3
337,145,2020-7-29 1,30.0,77,1005.3,1.1,64.1
338,146,2020-7-29 2,30.0,77,1004.9,1.0,250.1
339,147,2020-7-29 3,29.9,78,1004.8,1.1,256.6
340,148,2020-7-29 4,29.6,79,1004.9,1.0,260.3
341,149,2020-7-29 5,29.3,80,1005.0,1.1,268.2
342,150,2020-7-29 6,29.6,79,1005.6,0.8,268.5
343,151,2020-7-29 7,30.8,74,1006.1,1.0,254.5
344,152,2020-7-29 8,31.6,67,1006.3,1.1,232.5
345,153,2020-7-29 9,32.8,61,1006.5,1.3,241.7
346,154,2020-7-29 10,33.4,59,1006.2,1.2,266.9
347,155,2020-7-29 11,34.3,55,1005.8,1.1,256.3
348,156,2020-7-29 12,35.7,50,1005.1,1.1,326.9
349,157,2020-7-29 13,35.9,50,1004.0,1.4,19.1
350,158,2020-7-29 14,36.0,48,1003.2,1.5,47.9
351,159,2020-7-29 15,35.9,48,1002.8,1.6,118.6
352,160,2020-7-29 16,34.1,59,1002.8,2.5,127.4
353,161,2020-7-29 17,33.0,64,1002.9,2.3,115.6
354,162,2020-7-29 18,32.4,65,1004.0,2.2,114.3
355,163,2020-7-29 19,31.3,73,1004.9,2.6,97.4
356,164,2020-7-29 20,30.8,73,1005.6,1.7,94.9
357,165,2020-7-29 21,30.3,74,1005.8,1.7,78.1
358,166,2020-7-29 22,30.1,76,1006.2,1.6,78.0
359,167,2020-7-29 23,29.9,78,1006.2,1.4,51.9
360,120,2020-7-28 0,30.2,77,1005.0,1.3,270.7
361,121,2020-7-28 1,30.1,76,1004.7,1.5,258.0
362,122,2020-7-28 2,29.8,77,1004.3,1.7,275.4
363,123,2020-7-28 3,29.7,79,1004.7,1.5,258.4
364,124,2020-7-28 4,29.8,78,1004.9,1.4,261.2
365,125,2020-7-28 5,29.8,78,1005.4,1.5,246.3
366,126,2020-7-28 6,29.8,80,1005.8,0.9,262.1
367,127,2020-7-28 7,29.8,78,1006.2,0.8,275.2
368,128,2020-7-28 8,31.4,68,1006.5,1.3,247.4
369,129,2020-7-28 9,32.1,64,1006.5,1.4,260.8
370,130,2020-7-28 10,33.3,60,1006.6,1.4,243.6
371,131,2020-7-28 11,34.2,56,1006.1,1.6,228.4
372,132,2020-7-28 12,35.0,53,1005.3,1.6,235.0
373,133,2020-7-28 13,32.6,64,1004.8,2.0,186.6
374,134,2020-7-28 14,31.3,69,1004.3,1.8,66.2
375,135,2020-7-28 15,32.6,64,1003.5,2.0,108.1
376,136,2020-7-28 16,34.1,60,1003.0,2.1,85.7
377,137,2020-7-28 17,33.2,62,1003.1,2.4,72.5
378,138,2020-7-28 18,31.1,68,1003.5,2.0,245.9
379,139,2020-7-28 19,31.6,71,1004.1,1.2,317.3
380,140,2020-7-28 20,31.9,69,1005.1,1.5,258.7
381,141,2020-7-28 21,31.6,68,1005.9,1.9,236.9
382,142,2020-7-28 22,31.2,69,1006.4,1.7,240.3
383,143,2020-7-28 23,30.7,73,1006.3,1.0,67.2
384,144,2020-7-29 0,30.4,74,1005.9,1.1,310.3
385,145,2020-7-29 1,30.0,77,1005.3,1.1,64.1
386,146,2020-7-29 2,30.0,77,1004.9,1.0,250.1
387,147,2020-7-29 3,29.9,78,1004.8,1.1,256.6
388,148,2020-7-29 4,29.6,79,1004.9,1.0,260.3
389,149,2020-7-29 5,29.3,80,1005.0,1.1,268.2
390,150,2020-7-29 6,29.6,79,1005.6,0.8,268.5
391,151,2020-7-29 7,30.8,74,1006.1,1.0,254.5
392,152,2020-7-29 8,31.6,67,1006.3,1.1,232.5
393,153,2020-7-29 9,32.8,61,1006.5,1.3,241.7
394,154,2020-7-29 10,33.4,59,1006.2,1.2,266.9
395,155,2020-7-29 11,34.3,55,1005.8,1.1,256.3
396,156,2020-7-29 12,35.7,50,1005.1,1.1,326.9
397,157,2020-7-29 13,35.9,50,1004.0,1.4,19.1
398,158,2020-7-29 14,36.0,48,1003.2,1.5,47.9
399,159,2020-7-29 15,35.9,48,1002.8,1.6,118.6
400,160,2020-7-29 16,34.1,59,1002.8,2.5,127.4
401,161,2020-7-29 17,33.0,64,1002.9,2.3,115.6
402,162,2020-7-29 18,32.4,65,1004.0,2.2,114.3
403,163,2020-7-29 19,31.3,73,1004.9,2.6,97.4
404,164,2020-7-29 20,30.8,73,1005.6,1.7,94.9
405,165,2020-7-29 21,30.3,74,1005.8,1.7,78.1
406,166,2020-7-29 22,30.1,76,1006.2,1.6,78.0
407,167,2020-7-29 23,29.9,78,1006.2,1.4,51.9
408,168,2020-7-30 0,29.6,80,1006.1,1.7,56.2
409,169,2020-7-30 1,29.3,82,1005.6,1.5,54.9
410,170,2020-7-30 2,28.9,84,1005.5,1.4,64.5
411,171,2020-7-30 3,28.8,84,1005.5,1.4,69.3
412,172,2020-7-30 4,28.7,84,1005.5,1.6,64.8
413,173,2020-7-30 5,28.6,83,1005.5,1.8,65.3
414,174,2020-7-30 6,28.9,82,1005.7,1.2,59.0
415,175,2020-7-30 7,29.7,77,1005.9,1.6,63.5
416,176,2020-7-30 8,30.3,72,1006.2,1.7,56.0
417,177,2020-7-30 9,31.4,65,1006.4,1.5,89.7
418,178,2020-7-30 10,32.3,62,1006.3,1.3,61.8
419,179,2020-7-30 11,32.8,59,1005.8,1.7,66.3
420,180,2020-7-30 12,33.5,55,1005.4,2.3,73.7
421,181,2020-7-30 13,34.3,53,1004.6,2.1,67.2
422,182,2020-7-30 14,34.7,52,1003.4,2.1,53.1
423,183,2020-7-30 15,32.5,59,1003.2,3.3,109.1
424,184,2020-7-30 16,32.3,60,1003.0,1.3,41.4
425,185,2020-7-30 17,32.7,60,1002.8,0.9,64.6
426,186,2020-7-30 18,32.5,60,1002.7,1.1,77.2
427,187,2020-7-30 19,32.2,60,1004.0,1.6,110.8
428,188,2020-7-30 20,31.1,68,1005.0,1.2,95.5
429,189,2020-7-30 21,30.9,71,1005.4,1.1,98.4
430,190,2020-7-30 22,30.6,72,1005.3,1.2,71.2
431,191,2020-7-30 23,30.3,71,1005.0,1.6,58.6
432,144,2020-7-29 0,30.4,74,1005.9,1.1,310.3
433,145,2020-7-29 1,30.0,77,1005.3,1.1,64.1
434,146,2020-7-29 2,30.0,77,1004.9,1.0,250.1
435,147,2020-7-29 3,29.9,78,1004.8,1.1,256.6
